"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717522092591228E9,"2024-06-04 19:28:12.591 UTC+02:00"
"PAUSE",6.000734075000219E1,1.717522152599233E9,"2024-06-04 19:29:12.599 UTC+02:00"
