"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.638616667E-2,-1.420822144E1,-4.687121582E1,-1.607745361E1
2.637016666E-2,-1.420602417E1,-4.690844727E1,-1.598599243E1
3.635316667E-2,-1.417264557E1,-4.694531250E1,-1.606845093E1
4.633716666E-2,-1.423770142E1,-4.682812500E1,-1.601473999E1
5.632116666E-2,-1.436827850E1,-4.684970093E1,-1.620266724E1
6.630416666E-2,-1.437199402E1,-4.670419312E1,-1.640222168E1
7.628816666E-2,-1.442269897E1,-4.665161133E1,-1.668463135E1
8.627116666E-2,-1.440549469E1,-4.648110962E1,-1.684429932E1
9.625516666E-2,-1.459831238E1,-4.638925171E1,-1.711151123E1
1.062381667E-1,-1.446443939E1,-4.622286987E1,-1.713192749E1
1.162221667E-1,-1.457399750E1,-4.620852661E1,-1.759213257E1
1.262061667E-1,-1.458998108E1,-4.585565186E1,-1.771386719E1
1.361891667E-1,-1.476998901E1,-4.573504639E1,-1.804479980E1
1.461731667E-1,-1.481143951E1,-4.567077637E1,-1.823825073E1
1.561561667E-1,-1.505463409E1,-4.544100952E1,-1.858578491E1
1.661401667E-1,-1.526387787E1,-4.534500122E1,-1.886358643E1
1.761231667E-1,-1.574689484E1,-4.494024658E1,-1.972982788E1
1.861071667E-1,-1.613844299E1,-4.454724121E1,-2.041186523E1
1.960911667E-1,-1.660907745E1,-4.425292969E1,-2.101519775E1
2.060741667E-1,-1.717530823E1,-4.372390747E1,-2.192010498E1
2.160581667E-1,-1.771176147E1,-4.302368164E1,-2.257586670E1
2.260411667E-1,-1.831293488E1,-4.248025513E1,-2.339746094E1
2.360251667E-1,-1.902541351E1,-4.166290283E1,-2.396627808E1
2.460091667E-1,-1.992340088E1,-4.102435303E1,-2.467871094E1
2.559921667E-1,-2.090806580E1,-4.039828491E1,-2.497470093E1
2.659761667E-1,-2.090806580E1,-4.039828491E1,-2.497470093E1
2.759591667E-1,-2.204299927E1,-3.983605957E1,-2.521002197E1
2.859431667E-1,-2.345251465E1,-3.932153320E1,-2.476367188E1
2.959261667E-1,-2.513948059E1,-3.864056396E1,-2.439553833E1
3.059101667E-1,-2.701206207E1,-3.796432495E1,-2.343829346E1
3.158941667E-1,-2.920800781E1,-3.736462402E1,-2.217379761E1
3.258771667E-1,-3.134519196E1,-3.649810791E1,-2.021804810E1
