"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.550408333E-2,-5.329525098E-2,1.541280597E-1,-3.946338594E-2
2.548708333E-2,-2.886154875E-2,8.989687264E-2,-5.310462788E-2
3.547108333E-2,-4.631247744E-2,4.389235377E-2,-6.609322876E-2
4.545408333E-2,-7.016801089E-2,4.734620824E-2,-5.935942754E-2
5.543708333E-2,-7.549047470E-2,9.324909747E-2,-2.635412291E-2
6.542008333E-2,-7.356607914E-2,1.472364217E-1,5.088489037E-3
7.540308333E-2,-6.498982012E-2,1.982767731E-1,2.112207375E-2
8.538708333E-2,-5.959425122E-2,2.262498140E-1,2.009728923E-2
9.537008333E-2,-5.411895365E-2,2.373523116E-1,1.230143290E-2
1.053530833E-1,-3.711626679E-2,2.461982667E-1,6.452066824E-3
1.153360833E-1,-2.535675839E-2,2.512474656E-1,6.966086105E-3
1.253190833E-1,-1.731853932E-2,2.465246022E-1,1.925843768E-2
1.353020833E-1,-1.421721838E-2,2.641183436E-1,1.885323040E-2
1.452860833E-1,-9.889315814E-3,2.779534757E-1,2.688905224E-2
1.552690833E-1,-2.292889403E-4,2.828384340E-1,3.023582324E-2
1.652520833E-1,1.849840977E-3,2.671705186E-1,2.372625843E-2
1.752350833E-1,-3.106162883E-3,2.371701747E-1,4.007439129E-4
1.852180833E-1,-9.028767236E-3,1.995013505E-1,-3.156384826E-2
1.952010833E-1,9.230363183E-3,1.734537482E-1,-4.889073223E-2
2.051850833E-1,4.281788319E-2,1.677356809E-1,-5.763895065E-2
2.151680833E-1,5.536265671E-2,1.789989471E-1,-6.241712719E-2
2.251510833E-1,5.373387039E-2,1.876150668E-1,-5.607906729E-2
2.351340833E-1,5.292789266E-2,1.863528639E-1,-5.655306205E-2
2.451170833E-1,6.032269448E-2,1.723108143E-1,-6.478036195E-2
2.551000833E-1,6.562009454E-2,1.373519003E-1,-8.368086815E-2
2.650840833E-1,6.670825928E-2,8.089794219E-2,-9.443551302E-2
2.750670833E-1,6.999875605E-2,3.266655607E-3,-9.245859832E-2
2.850500833E-1,6.958463788E-2,-4.923277348E-2,-9.777027369E-2
2.950330833E-1,6.827399880E-2,-1.041701585E-1,-9.638315439E-2
3.050160833E-1,7.570528239E-2,-1.488667876E-1,-1.462202221E-1
3.149990833E-1,8.335655928E-2,-2.745517194E-1,-1.783431768E-1
3.249830833E-1,5.663067102E-2,-4.559995532E-1,-1.816670597E-1
3.349660833E-1,1.003209129E-2,-6.184645295E-1,-2.001081109E-1
3.449490833E-1,-8.354106918E-3,-7.473282218E-1,-2.496167868E-1
3.549320833E-1,1.365493401E-3,-8.787825108E-1,-2.935994864E-1
3.649150833E-1,3.530854359E-2,-1.012271404E0,-3.175687194E-1
3.748980833E-1,9.826448560E-2,-1.151739955E0,-3.574047685E-1
3.848820833E-1,1.653622836E-1,-1.251268148E0,-4.235142767E-1
3.948650833E-1,2.391138822E-1,-1.284740925E0,-5.267143250E-1
4.048480833E-1,3.028547764E-1,-1.228962302E0,-6.512522697E-1
4.148310833E-1,3.331027627E-1,-1.034605384E0,-7.567442656E-1
4.248140833E-1,3.134260178E-1,-7.537714839E-1,-7.682147622E-1
4.347980833E-1,2.267674208E-1,-4.612167478E-1,-6.748651862E-1
4.447810833E-1,9.972052276E-2,-1.848663986E-1,-5.465961695E-1
4.547640833E-1,1.439638622E-2,1.499884482E-2,-5.074474216E-1
4.647470833E-1,-1.550959796E-1,-1.694816910E-2,-5.115231276E-1
4.747300833E-1,-3.206561506E-1,-1.847669929E-1,-5.153191686E-1
4.847130833E-1,-3.980681300E-1,-4.590320885E-1,-5.481753945E-1
4.946970833E-1,-4.045644403E-1,-8.110628724E-1,-5.836328268E-1
5.046800833E-1,-3.685955107E-1,-1.171123028E0,-5.882302523E-1
5.146630833E-1,-2.979889810E-1,-1.500764370E0,-5.919373631E-1
5.246460833E-1,-1.841736585E-1,-1.859429240E0,-5.897676349E-1
5.346290833E-1,-5.014784634E-2,-2.291079998E0,-5.852062702E-1
5.446120833E-1,2.636423893E-2,-2.769530296E0,-5.640786290E-1
5.545960833E-1,3.478213027E-2,-3.299523115E0,-6.110383272E-1
5.645790833E-1,7.857307792E-3,-4.000429153E0,-6.304615140E-1
5.745620833E-1,-4.524277896E-2,-4.519043922E0,-6.055784225E-1
5.845450833E-1,-1.624607444E-1,-4.742181778E0,-4.724973440E-1
5.945280833E-1,-4.039461017E-1,-4.818639755E0,-1.062273830E-1
6.045110833E-1,-7.451226115E-1,-4.654179096E0,4.243896306E-1
6.144950833E-1,-1.255289078E0,-4.022309303E0,9.859325290E-1
6.244780833E-1,-1.910146832E0,-3.234592199E0,1.563677907E0
6.344610833E-1,-2.603302479E0,-2.424440145E0,2.115545511E0
6.444440833E-1,-3.224889040E0,-1.578934431E0,2.658003807E0
6.544270833E-1,-3.649945021E0,-7.330502868E-1,3.202664852E0
6.644100833E-1,-3.849462032E0,-7.371869683E-2,3.698400259E0
6.743940833E-1,-3.835679531E0,3.306713104E-1,4.016896248E0
6.843770833E-1,-3.606011868E0,5.211110115E-1,4.001061916E0
