"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717530065970946E9,"2024-06-04 21:41:05.971 UTC+02:00"
"PAUSE",1.200128575833296E2,1.717530185984403E9,"2024-06-04 21:43:05.984 UTC+02:00"
