"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.144416667E-3,-9.121143818E-2,-1.610495687E0,-9.818584658E-3
1.512741666E-2,-1.929870546E-1,-1.501780272E0,-7.058162242E-2
2.511041667E-2,-2.719183564E-1,-1.261384964E0,-1.682668924E-1
3.509341666E-2,-3.142306209E-1,-9.824296832E-1,-2.603172660E-1
4.507641667E-2,-2.637320459E-1,-7.136962414E-1,-3.414723277E-1
5.506041666E-2,-1.669948399E-1,-4.649321437E-1,-3.837485015E-1
6.504341667E-2,-8.984306455E-2,-2.764048278E-1,-3.603560925E-1
7.502641666E-2,-7.377564907E-2,-1.321154088E-1,-3.171427548E-1
8.500941667E-2,-9.154719114E-2,-1.027298197E-1,-2.635825872E-1
9.499241666E-2,-1.306883246E-1,-1.927871108E-1,-1.769826710E-1
1.049754167E-1,-2.089530379E-1,-2.835921347E-1,-7.777193189E-2
1.149584167E-1,-2.877536416E-1,-3.890962005E-1,2.037441917E-2
1.249414167E-1,-3.554871380E-1,-5.200870037E-1,1.184964553E-1
1.349244167E-1,-4.354184568E-1,-5.326951742E-1,2.097475380E-1
1.449074167E-1,-4.623552561E-1,-5.854542851E-1,2.706559002E-1
1.548904167E-1,-4.727785587E-1,-6.384769082E-1,2.988218665E-1
1.648744167E-1,-4.797025025E-1,-6.149801016E-1,2.976181209E-1
1.748574167E-1,-4.512088001E-1,-5.228396058E-1,2.587428093E-1
1.848404167E-1,-3.613492250E-1,-3.838553131E-1,1.735914350E-1
1.948234167E-1,-2.514708340E-1,-2.237733752E-1,6.687336415E-2
2.048064167E-1,-1.496859044E-1,-8.439818025E-2,-3.693612665E-2
2.147894167E-1,-6.761682034E-2,-1.182601415E-2,-8.175099641E-2
2.247724167E-1,-3.663136857E-3,-2.991819941E-2,-7.404806465E-2
2.347554167E-1,4.971244186E-2,-1.039161459E-1,-5.326325446E-2
2.447384167E-1,8.128261566E-2,-2.012677342E-1,-4.253843427E-2
2.547214167E-1,7.850482315E-2,-2.731603384E-1,-4.074192047E-2
2.647044167E-1,8.063641191E-2,-3.227896690E-1,-1.707947068E-2
2.746884167E-1,8.530558646E-2,-3.256104589E-1,1.478104480E-2
2.846714167E-1,1.263177395E-1,-2.990630269E-1,6.005291641E-2
2.946544167E-1,1.483458132E-1,-1.622432917E-1,3.863782436E-2
3.046374167E-1,1.828092486E-1,-5.978456512E-2,-1.485283207E-2
3.146204167E-1,1.987240613E-1,7.465530653E-4,-4.126049951E-2
3.246034167E-1,2.309083492E-1,-1.256871969E-2,-1.716847718E-2
3.345864167E-1,2.988233566E-1,-3.288613632E-2,7.000213489E-3
3.445694167E-1,3.828173280E-1,-1.259764284E-2,1.587759517E-2
3.545524167E-1,4.228960276E-1,3.115474246E-2,2.255990356E-2
3.645354167E-1,4.236201346E-1,6.119813398E-2,2.254072949E-2
3.745184167E-1,3.853206038E-1,9.407607466E-2,1.273086853E-2
3.845024167E-1,3.525788784E-1,1.326985657E-1,-1.007644273E-2
3.944854167E-1,3.913674951E-1,1.404607743E-1,-3.293419629E-2
4.044684167E-1,4.945058823E-1,1.237417087E-1,-5.997113883E-2
4.144514167E-1,6.622565985E-1,1.150014773E-1,-7.663805783E-2
4.244344167E-1,9.065313339E-1,1.222354248E-1,-6.502348185E-2
4.344174167E-1,1.250541806E0,1.654078960E-1,-2.602241933E-2
4.444002083E-1,1.682063580E0,2.913471758E-1,1.178647857E-2
4.543832083E-1,2.147163153E0,4.716814160E-1,4.359264299E-2
4.643662083E-1,2.568714380E0,6.518807411E-1,6.621886790E-2
4.743492083E-1,2.907111645E0,7.430047989E-1,7.191935927E-2
4.843332083E-1,3.168822527E0,7.641718388E-1,-1.755859330E-2
4.943162083E-1,3.440542936E0,7.043393254E-1,-5.646914616E-2
5.042992083E-1,3.487621784E0,4.646124542E-1,-1.167910695E-1
5.142822083E-1,3.197382927E0,1.602393687E-1,-2.081034482E-1
5.242652083E-1,2.707547665E0,-1.375308037E-1,-3.019534945E-1
5.342482083E-1,2.224014044E0,-2.849961519E-1,-3.616580367E-1
5.442312083E-1,1.845346808E0,-2.945561111E-1,-3.845143616E-1
5.542142083E-1,1.559278488E0,-2.207265794E-1,-3.565057814E-1
5.641972083E-1,-1.511882901E0,-2.211672544E0,-4.896989763E-1
5.741802083E-1,-2.821536064E0,-1.297921181E0,-3.159627914E-1
5.841632083E-1,-1.533807158E0,-9.020540714E-1,-2.816935070E-2
5.941462083E-1,2.911422551E-1,7.177788019E-2,-1.171911582E-1
6.041292083E-1,1.456308007E0,8.127180338E-1,-1.763479561E-1
6.141122083E-1,2.183525085E0,1.190338492E0,-2.040908113E-2
6.240962083E-1,2.351791143E0,1.155391932E0,1.871321350E-1
6.340792083E-1,1.537686586E0,2.631741762E-1,2.954285145E-1
6.440622083E-1,9.440585971E-2,-6.488594413E-1,1.494688988E-1
6.540452083E-1,-9.314245582E-1,-8.995351791E-1,-6.668140739E-2
6.640282083E-1,-1.256503105E0,-8.288418055E-1,-7.494998723E-2
6.740112083E-1,-1.234942913E0,-7.169433236E-1,6.131704524E-2
6.839942083E-1,-1.238142610E0,-6.140987277E-1,1.240041330E-1
6.939772083E-1,-1.332681298E0,-6.627587080E-1,9.778679162E-2
7.039602083E-1,-1.441343546E0,-7.043240070E-1,8.079981804E-2
7.139432083E-1,-1.487157106E0,-6.347288489E-1,9.534652531E-2
7.239272083E-1,-1.507602215E0,-4.803435802E-1,1.228332743E-1
7.339102083E-1,-1.570395827E0,-3.193906844E-1,1.433113962E-1
7.438932083E-1,-1.670795202E0,-2.187876403E-1,1.565507650E-1
7.538762083E-1,-1.775928617E0,-1.990181953E-1,1.653973162E-1
7.638592083E-1,-1.857553482E0,-2.112743258E-1,1.471991390E-1
7.738422083E-1,-1.921237350E0,-2.323426753E-1,1.354694813E-1
7.838252083E-1,-1.969117880E0,-2.694388926E-1,1.409225613E-1
7.938082083E-1,-1.991895437E0,-2.844979763E-1,2.115283459E-1
8.037912083E-1,-1.990105987E0,-2.593662441E-1,2.445669919E-1
8.137742083E-1,-1.928850770E0,-3.078845143E-1,2.382176816E-1
8.237572083E-1,-1.903957725E0,-2.893140316E-1,2.100217342E-1
8.337412083E-1,-1.899417996E0,-2.666290700E-1,2.012361139E-1
8.437242083E-1,-1.884949565E0,-2.973749936E-1,2.101411968E-1
8.537072083E-1,-1.853763223E0,-3.686879277E-1,2.029978335E-1
8.636902083E-1,-1.794982553E0,-5.257275701E-1,1.785910279E-1
8.736732083E-1,-1.710151792E0,-7.511316538E-1,1.338898540E-1
8.836562083E-1,-1.634439468E0,-9.909589291E-1,5.127274245E-2
8.936392083E-1,-1.570156932E0,-1.203963041E0,-4.841497913E-2
9.036222083E-1,-1.520336628E0,-1.393917561E0,-1.209568307E-1
9.136052083E-1,-1.485007405E0,-1.521672726E0,-1.821670234E-1
9.235882083E-1,-1.477369189E0,-1.558945775E0,-2.370521128E-1
9.335722083E-1,-1.502544045E0,-1.435799360E0,-2.520229816E-1
9.435552083E-1,-1.581964135E0,-1.176776886E0,-2.506743670E-1
9.535382083E-1,-1.800457001E0,-9.428960681E-1,-2.492300123E-1
9.635212083E-1,-1.858285427E0,-6.292912960E-1,-2.091110945E-1
9.735042083E-1,-1.732771516E0,-2.700583339E-1,-1.560436636E-1
9.834872083E-1,-1.492032409E0,5.943700671E-3,-1.213179156E-1
9.934702083E-1,-1.186830759E0,1.384738237E-1,-1.148499101E-1
1.003453208E0,-8.239856958E-1,2.037601471E-1,-1.192859337E-1
1.013436208E0,-4.217192829E-1,2.412425429E-1,-1.234594584E-1
1.023419208E0,-1.257782895E-2,2.676243782E-1,-1.288385242E-1
1.033402208E0,3.142142892E-1,2.657265663E-1,-1.414504796E-1
1.043386208E0,5.533693433E-1,2.543021142E-1,-1.466061026E-1
1.053369208E0,7.373694777E-1,2.604993880E-1,-1.382340193E-1
1.063352208E0,8.667147160E-1,2.339002937E-1,-1.072252393E-1
1.073335208E0,9.498428702E-1,2.393386066E-1,-8.099499345E-2
1.083318208E0,1.005505323E0,2.758302987E-1,-5.288559571E-2
1.093301208E0,1.044936419E0,2.979629338E-1,-2.261109278E-2
1.103284208E0,1.091621161E0,3.642426133E-1,1.042835135E-2
