"Time (s)","X (hPa)"
-5.343128750E-1,1.008495712E3
4.967591250E-1,1.008492966E3
1.527824125E0,1.008490219E3
2.558874125E0,1.008485336E3
3.589875125E0,1.008481064E3
3.784519125E0,1.008477478E3
4.848849125E0,1.008474655E3
5.913186125E0,1.008469925E3
6.977547125E0,1.008465958E3
8.041906125E0,1.008463211E3
9.106275125E0,1.008463211E3
1.017068712E1,1.008464050E3
1.123506312E1,1.008465347E3
1.229940012E1,1.008467865E3
1.336373812E1,1.008470840E3
1.442811512E1,1.008471603E3
1.549253412E1,1.008473816E3
1.655692012E1,1.008478394E3
1.762127612E1,1.008481369E3
1.868563212E1,1.008484879E3
1.975003712E1,1.008488083E3
2.081446412E1,1.008488083E3
2.187884312E1,1.008488922E3
2.294323912E1,1.008489075E3
2.400761512E1,1.008489075E3
2.507194612E1,1.008486786E3
2.613625512E1,1.008481140E3
2.720061112E1,1.008476868E3
2.826498712E1,1.008469772E3
2.932930112E1,1.008464890E3
3.039364212E1,1.008464508E3
3.145798012E1,1.008463058E3
3.252231512E1,1.008464508E3
3.358668112E1,1.008464661E3
3.465112712E1,1.008468246E3
3.571553512E1,1.008468246E3
3.677985012E1,1.008466339E3
3.784415312E1,1.008462677E3
3.890848712E1,1.008458023E3
3.997288812E1,1.008451080E3
4.103728512E1,1.008445358E3
4.210164912E1,1.008441544E3
4.316597012E1,1.008441544E3
4.423034512E1,1.008442230E3
4.529474712E1,1.008442764E3
4.635917812E1,1.008442764E3
4.742367312E1,1.008442764E3
4.848814712E1,1.008444901E3
4.955258312E1,1.008447418E3
5.061706012E1,1.008450470E3
5.168150012E1,1.008459396E3
5.274592212E1,1.008468552E3
5.381035612E1,1.008476257E3
5.487474512E1,1.008482590E3
5.593914412E1,1.008482590E3
5.700356912E1,1.008480530E3
