"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.839805417E-1,-4.132696533E1,-8.876708984E0,-1.796292114E1
8.939635417E-1,-4.143952942E1,-9.609313965E0,-1.729171753E1
9.039475417E-1,-4.155178833E1,-1.045245361E1,-1.716439819E1
9.139305417E-1,-4.156483459E1,-1.152868652E1,-1.697805786E1
9.239135417E-1,-4.131472778E1,-1.290362549E1,-1.696414185E1
9.338975417E-1,-4.108739471E1,-1.454840088E1,-1.718118286E1
9.438805417E-1,-4.067079163E1,-1.633343506E1,-1.765911865E1
9.538645417E-1,-3.985279083E1,-1.839166260E1,-1.789166260E1
9.638475417E-1,-3.920950317E1,-2.042739868E1,-1.834619141E1
9.738305417E-1,-3.823165131E1,-2.264654541E1,-1.849285889E1
9.838145417E-1,-3.701825714E1,-2.505029297E1,-1.863162231E1
9.937975417E-1,-3.567469788E1,-2.737750244E1,-1.877969360E1
1.003781542E0,-3.409923553E1,-2.966372681E1,-1.887597656E1
1.013764542E0,-3.225051880E1,-3.185235596E1,-1.920959473E1
1.023747542E0,-3.041413116E1,-3.371838379E1,-1.933209229E1
1.033731542E0,-2.870590210E1,-3.543585205E1,-1.916015625E1
1.043714542E0,-2.692663574E1,-3.714437866E1,-1.899456787E1
1.053698542E0,-2.517621613E1,-3.853802490E1,-1.875146484E1
1.063681542E0,-2.361322784E1,-3.983383179E1,-1.848477173E1
1.073664542E0,-2.207398987E1,-4.106387329E1,-1.801513672E1
1.083648542E0,-2.075431061E1,-4.187664795E1,-1.778051758E1
1.093631542E0,-1.953459930E1,-4.287463379E1,-1.699429321E1
1.103615542E0,-1.857576752E1,-4.351785278E1,-1.647653198E1
1.113598542E0,-1.793338013E1,-4.414215088E1,-1.585330200E1
1.123581500E0,-1.732719421E1,-4.468966675E1,-1.506625366E1
1.133565500E0,-1.707684326E1,-4.508834839E1,-1.415023804E1
1.143548500E0,-1.703663635E1,-4.537841797E1,-1.350531006E1
1.153532500E0,-1.703663635E1,-4.537841797E1,-1.350531006E1
1.163515500E0,-1.722308350E1,-4.542150879E1,-1.330960083E1
1.173498500E0,-1.763219452E1,-4.520260620E1,-1.322790527E1
1.183482500E0,-1.839662170E1,-4.479983521E1,-1.362234497E1
1.193465500E0,-1.919072723E1,-4.411724854E1,-1.409936523E1
1.203449500E0,-2.022459412E1,-4.349700928E1,-1.459963989E1
1.213432500E0,-2.130162048E1,-4.253842163E1,-1.538034058E1
1.223415500E0,-2.273558807E1,-4.147805786E1,-1.645346069E1
1.233399500E0,-2.421556091E1,-4.022042847E1,-1.694024658E1
1.243382500E0,-2.592590332E1,-3.898114014E1,-1.728356934E1
1.253366500E0,-2.774704742E1,-3.739193726E1,-1.759579468E1
1.263349500E0,-2.963269043E1,-3.583740234E1,-1.780761719E1
1.273332500E0,-3.154538727E1,-3.389746094E1,-1.758612061E1
1.283316500E0,-3.342646027E1,-3.190130615E1,-1.762979126E1
1.293299500E0,-3.528580475E1,-2.963610840E1,-1.724502563E1
1.303283500E0,-3.720391083E1,-2.701065063E1,-1.668957520E1
1.313266500E0,-3.882176208E1,-2.440698242E1,-1.575540161E1
1.323249500E0,-4.052088165E1,-2.132815552E1,-1.467483521E1
1.333233500E0,-4.150070953E1,-1.832116699E1,-1.372232056E1
1.343216500E0,-4.241456604E1,-1.549902344E1,-1.297518921E1
1.353200500E0,-4.284476471E1,-1.282501221E1,-1.307794189E1
1.363183500E0,-4.272960663E1,-1.059646606E1,-1.351016235E1
1.373166500E0,-4.238018799E1,-8.876770020E0,-1.454269409E1
1.383150500E0,-4.196100616E1,-7.820709229E0,-1.558905029E1
1.393133500E0,-4.136055756E1,-7.256713867E0,-1.648657227E1
1.403117500E0,-4.117672729E1,-7.034606934E0,-1.741531372E1
1.413100500E0,-4.112290955E1,-7.254638672E0,-1.766021729E1
1.423083500E0,-4.111444092E1,-7.996520996E0,-1.783065796E1
1.433067500E0,-4.111444092E1,-7.996520996E0,-1.783065796E1
1.443050500E0,-4.119851685E1,-9.042053223E0,-1.775253296E1
1.453034500E0,-4.126286316E1,-1.025555420E1,-1.761154175E1
1.463017500E0,-4.133584595E1,-1.188858032E1,-1.749945068E1
1.473001500E0,-4.116675568E1,-1.392434692E1,-1.746752930E1
1.482984500E0,-4.074327850E1,-1.638879395E1,-1.741870117E1
1.492967500E0,-4.019104767E1,-1.890310669E1,-1.749551392E1
1.502951500E0,-3.925895691E1,-2.166775513E1,-1.770013428E1
1.512934500E0,-3.775376892E1,-2.439126587E1,-1.794192505E1
1.522918500E0,-3.615256500E1,-2.710180664E1,-1.841558838E1
1.532901500E0,-3.438319397E1,-2.954306030E1,-1.885836792E1
1.542884500E0,-3.270598602E1,-3.188507080E1,-1.905047607E1
1.552868500E0,-3.075225067E1,-3.388955688E1,-1.901837158E1
1.562851500E0,-2.911602783E1,-3.556286621E1,-1.912554932E1
1.572835500E0,-2.744415283E1,-3.681610107E1,-1.911715698E1
1.582818500E0,-2.592587280E1,-3.794329834E1,-1.935006714E1
1.592801500E0,-2.463186646E1,-3.877282715E1,-1.936007690E1
1.602785500E0,-2.366461945E1,-3.952938843E1,-1.935989380E1
1.612768500E0,-2.295874023E1,-3.986517334E1,-1.945565796E1
1.622752500E0,-2.236129761E1,-4.026800537E1,-1.948425293E1
1.632735500E0,-2.210254669E1,-4.039886475E1,-1.918182373E1
1.642718500E0,-2.215671539E1,-4.067782593E1,-1.886511230E1
1.652702500E0,-2.212609863E1,-4.073837280E1,-1.846380615E1
1.662685500E0,-2.245059967E1,-4.082516479E1,-1.795556641E1
1.672669500E0,-2.289813995E1,-4.097387695E1,-1.738052368E1
1.682652500E0,-2.350266266E1,-4.101470947E1,-1.676910400E1
1.692635500E0,-2.426579285E1,-4.103558350E1,-1.584771729E1
1.702619500E0,-2.500643158E1,-4.116186523E1,-1.462741089E1
1.712602500E0,-2.595022583E1,-4.105261230E1,-1.339556885E1
1.722586500E0,-2.595022583E1,-4.105261230E1,-1.339556885E1
1.732569500E0,-2.703383636E1,-4.087039185E1,-1.217584229E1
1.742552500E0,-2.829412842E1,-4.034613037E1,-1.144204712E1
1.752536500E0,-2.963563538E1,-3.957458496E1,-1.062942505E1
1.762519500E0,-3.127440643E1,-3.830761719E1,-1.079586792E1
1.772503500E0,-3.263706970E1,-3.650375366E1,-1.131668091E1
1.782486500E0,-3.427378082E1,-3.441424561E1,-1.231497192E1
1.792469500E0,-3.561469269E1,-3.184747314E1,-1.349615479E1
1.802453500E0,-3.687796021E1,-2.899206543E1,-1.478121948E1
1.812436500E0,-3.814455414E1,-2.603750610E1,-1.557098389E1
1.822420500E0,-3.929161072E1,-2.320016479E1,-1.621182251E1
1.832403500E0,-4.025093079E1,-2.048602295E1,-1.614569092E1
1.842386500E0,-4.127005005E1,-1.812841797E1,-1.524539185E1
1.852370500E0,-4.207173157E1,-1.625601196E1,-1.376910400E1
1.862353500E0,-4.287855530E1,-1.491976929E1,-1.245742798E1
1.872337500E0,-4.319406891E1,-1.411572266E1,-1.123901367E1
1.882320500E0,-4.345329285E1,-1.391177368E1,-1.065460205E1
1.892303500E0,-4.335340881E1,-1.432580566E1,-1.061209106E1
1.902287500E0,-4.328598022E1,-1.501678467E1,-1.134777832E1
1.912270500E0,-4.279106140E1,-1.629998779E1,-1.225219727E1
1.922254500E0,-4.218865967E1,-1.795001221E1,-1.340264893E1
1.932237500E0,-4.113142395E1,-2.013327026E1,-1.466799927E1
1.942220500E0,-4.002514648E1,-2.263436890E1,-1.546841431E1
1.952204500E0,-3.868787384E1,-2.519528198E1,-1.595663452E1
1.962187500E0,-3.716748047E1,-2.779437256E1,-1.668685913E1
1.972171500E0,-3.516523743E1,-3.028936768E1,-1.674496460E1
1.982154500E0,-3.333426666E1,-3.276879883E1,-1.665270996E1
1.992137500E0,-3.146748352E1,-3.493356323E1,-1.651361084E1
2.002121500E0,-3.146748352E1,-3.493356323E1,-1.651361084E1
2.012104500E0,-2.970011139E1,-3.687454224E1,-1.640765381E1
2.022088500E0,-2.805583954E1,-3.844589233E1,-1.601589966E1
2.032071500E0,-2.657609558E1,-3.980914307E1,-1.557421875E1
2.042054500E0,-2.548511505E1,-4.074050903E1,-1.524319458E1
2.052038500E0,-2.460440826E1,-4.151211548E1,-1.464202881E1
2.062021500E0,-2.392945862E1,-4.202059937E1,-1.447799683E1
2.072005500E0,-2.361653137E1,-4.231665039E1,-1.416635132E1
2.081988500E0,-2.340837097E1,-4.248541260E1,-1.419030762E1
2.091972500E0,-2.320608521E1,-4.273873901E1,-1.415405273E1
2.101955500E0,-2.326705170E1,-4.275387573E1,-1.417797852E1
2.111938500E0,-2.324085999E1,-4.260601807E1,-1.426376343E1
2.121922500E0,-2.325985718E1,-4.263259888E1,-1.431069946E1
2.131905500E0,-2.335738373E1,-4.237396240E1,-1.432897949E1
2.141889500E0,-2.376258087E1,-4.215936279E1,-1.451959229E1
2.151872500E0,-2.412763977E1,-4.178152466E1,-1.434786987E1
2.161855500E0,-2.482698059E1,-4.155938721E1,-1.418536377E1
2.171839500E0,-2.559169006E1,-4.128247070E1,-1.392785645E1
2.181822500E0,-2.656363678E1,-4.088790894E1,-1.398703003E1
2.191806500E0,-2.743996429E1,-4.016564941E1,-1.371780396E1
2.201789500E0,-2.862374115E1,-3.942947388E1,-1.379415894E1
2.211772500E0,-2.990223694E1,-3.845809937E1,-1.369262695E1
2.221756500E0,-3.124084473E1,-3.705599976E1,-1.384350586E1
