"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717522895255978E9,"2024-06-04 19:41:35.256 UTC+02:00"
"PAUSE",6.000670541666477E1,1.717522955263347E9,"2024-06-04 19:42:35.263 UTC+02:00"
