time,X (m/s^2),Y (m/s^2),Z (m/s^2),label
0.0,9.947046104492685,-0.005716053124800138,0.8215845497071538,handshake
0.5,9.906647555956608,-0.538473943347147,0.7413554081204532,handshake
1.0,9.871043619644922,-1.052613645833973,0.6647742236775405,handshake
1.5,9.844392326453212,-1.5331399249954802,0.5963709598871585,handshake
2.0,9.830204777681972,-1.967318942954954,0.5403528030391049,handshake
2.5,9.831061856329992,-2.3455320663667387,0.5003510069537874,handshake
3.0,9.848404122182156,-2.6618737416723337,0.47918724268190777,handshake
3.5,9.882411959832584,-2.9144453141247846,0.4786733386081662,handshake
4.0,9.93198532476437,-3.1053268366177162,0.499458516679223,handshake
4.5,9.994824182256478,-3.2402397835863948,0.5409373944157161,handshake
5.0,10.067602606882726,-3.32794176355945,0.6012298421036028,handshake
5.5,10.14622209316723,-3.379416959446391,0.677240157020017,handshake
6.0,10.226123441493431,-3.40694110320477,0.7647980574305507,handshake
6.5,10.302632076704523,-3.423106297317174,0.8588780424876853,handshake
7.0,10.371309186371857,-3.4398889397192773,0.9538872285490605,handshake
7.5,10.428280857774977,-3.4678343195582237,1.0440054987398886,handshake
8.0,10.470519498248379,-3.51541576807707,1.1235563735944085,handshake
8.5,10.496056082050384,-3.588606655263385,1.187383063323587,handshake
9.0,10.504107796873912,-3.690682258951805,1.2312022052548568,handshake
9.5,10.495112892548102,-3.822247732188325,1.2519081371328311,handshake
10.0,10.470672269991152,-3.9814698749946853,1.2478032863090625,handshake
10.5,10.433404869495686,-4.164475548029078,1.2187351979427479,handshake
11.0,10.386730571942566,-4.365869214673278,1.166127487352375,handshake
11.5,10.334599604093729,-4.579316639881558,1.0929000078256155,handshake
12.0,10.281191005507512,-4.7981411489598615,1.0032820853694213,handshake
12.5,10.230604407613406,-5.015882641241015,0.9025310532392853,handshake
13.0,10.186569175246705,-5.226777071815711,0.7965758171501865,handshake
13.5,10.152192955892081,-5.426124469122836,0.6916111822022513,handshake
14.0,10.129768046968833,-5.6105257249353855,0.5936726967039113,handshake
14.5,10.120648984484527,-5.7779812843217755,0.5082235045535425,handshake
15.0,10.125208725084171,-5.927857380101126,0.4397840145600049,handshake
15.5,10.142874179728588,-6.060736568308035,0.3916321389753122,handshake
16.0,10.172235184563098,-6.178178138062468,0.36559664010191395,handshake
16.5,10.211214834164677,-6.2824198162541895,0.36195912087447774,handshake
17.0,10.257284019062045,-6.376054670905078,0.3794719027241198,handshake
17.5,10.307699496235943,-6.461716170129405,0.41549005962997665,handshake
18.0,10.359743234192937,-6.541800251828369,0.46620690527645914,handshake
18.5,10.410941279364064,-6.618246598061617,0.526973979090759,handshake
19.0,10.459242936052119,-6.692392939503237,0.5926797450897571,handshake
19.5,10.503145371399253,-6.764907148749537,0.658156420362202,handshake
20.0,10.541754404160228,-6.835793159402842,0.7185820555617367,handshake
20.5,10.574778644706607,-6.904459318074081,0.7698454619799131,handshake
21.0,10.602460702183372,-6.96983237574329,0.8088448394290044,handshake
21.5,10.625455248225949,-7.030497398207074,0.833696768224026,handshake
22.0,10.644668767173432,-7.084843538055999,0.8438401010613487,handshake
22.5,10.66107936976618,-7.131197659138119,0.8400285308019109,handshake
23.0,10.67555677211657,-7.167931769458172,0.8242153753673055,handshake
23.5,10.688702275894379,-7.193535449751254,0.7993435036613477,handshake
24.0,10.700726340368895,-7.206650232221203,0.7690614471984122,handshake
24.5,10.711377308050327,-7.2060684763567355,0.7373928415125841,handshake
25.0,10.719929402874483,-7.190704098492097,0.7083898588220986,handshake
25.5,10.725231781750495,-7.15954609026496,0.6858019224178158,handshake
26.0,10.725813816974679,-7.1116078436963885,0.6727887074936215,handshake
26.5,10.720035609532546,-7.045885801989235,0.6717014819100139,handshake
27.0,10.706267666957906,-6.961339943102318,0.6839497175647413,handshake
27.5,10.683080322308294,-6.856906260844878,0.7099612963316129,handshake
28.0,10.649422247558894,-6.731547994787913,0.7492353622022373,handshake
28.5,10.60476850362838,-6.584348177061577,0.8004778126970613,handshake
29.0,10.549221863477722,-6.414641430186877,0.8618014464390076,handshake
29.5,10.483556260318338,-6.222178187961516,0.9309666758450559,handshake
30.0,10.409197543196044,-6.007309941755963,1.0056351065814642,handshake
30.5,10.328143524013964,-5.7711800577317165,1.0836075914729648,handshake
31.0,10.2428317919248,-5.5159014908789405,1.1630207229180902,handshake
31.5,10.155969224344643,-5.244700669742616,1.2424809583117502,handshake
32.0,10.070340938262007,-4.962006270667574,1.3211231793479141,handshake
32.5,9.98861818748643,-4.673462849201821,1.3985896769227377,handshake
33.0,9.913184237820822,-4.385852593446718,1.4749353138943764,handshake
33.5,9.845994617036347,-4.106913934481259,1.550473817588814,handshake
34.0,9.788483674770653,-3.8450533296081133,1.6255876794801618,handshake
34.5,9.741523664693155,-3.608955908332196,1.7005290358935745,handshake
35.0,9.705436306478475,-3.4071112219140693,1.775240501920317,handshake
35.5,9.680050790790466,-3.2472811413860723,1.84922294436222,handshake
36.0,9.66479719682311,-3.135946824317673,1.9214717544047952,handshake
36.5,9.658820878955801,-3.077779289583409,1.9904948913598293,handshake
37.0,9.661101889920419,-3.0751821982987724,2.0544157583154203,handshake
37.5,9.670564019236538,-3.1279548667302004,2.111153040656409,handshake
38.0,9.686160367199927,-3.2331177072703334,2.1586593030882026,handshake
38.5,9.706926185580425,-3.3849312004827645,2.195191662435512,handshake
39.0,9.731994517389486,-3.5751238532664047,2.2195822851618985,handshake
39.5,9.760575428154908,-3.793325799943181,2.231474514363489,handshake
40.0,9.791904801000683,-4.027684712353921,2.2314924027881844,handshake
