time,X (m/s^2),Y (m/s^2),Z (m/s^2),label
0.0,1.003276986032503,-0.47180580786277776,1.0217592477118327,handshake
0.5,0.929782654871739,-1.2880265000406117,0.7779416881132224,handshake
1.0,0.8589606991116037,-2.077746300143267,0.5429122093576633,handshake
1.5,0.797290684650969,-2.818885884992422,0.3254388300431852,handshake
2.0,0.7510510085571864,-3.4925401827428404,0.13322957202023075,handshake
2.5,0.7260123006567726,-4.084177980443573,-0.02753260443765205,handshake
3.0,0.7271393324855757,-4.58448173447209,-0.1525365436997215,handshake
3.5,0.7583126755331269,-4.9897617225614095,-0.23954732005545673,handshake
4.0,0.8220836705363583,-5.30192050851744,-0.2884568413338728,handshake
4.5,0.9194780412352559,-5.527986389108086,-0.30118226962594885,handshake
5.0,1.049863981865535,-5.67927340078456,-0.2814264806894426,handshake
5.5,1.2108992109815133,-5.770256664189352,-0.23432568574297058,handshake
6.0,1.398568054109813,-5.817272568490418,-0.16601762935631179,handshake
6.5,1.6073142011138042,-5.837162152325272,-0.08316879364467294,handshake
7.0,1.83026785596634,-5.845973037639619,0.007499554988859803,handshake
7.5,2.0595583265957944,-5.857821696355658,0.09964883383121487,handshake
8.0,2.2866956237631757,-5.8839959469052205,0.18769192755056377,handshake
9.0,2.502998287470468,-5.932350290582351,0.26706913646813696,handshake
9.5,2.7000402244826884,-6.007017158112141,0.3344169178006502,handshake
11.0,2.8700873420741835,-6.108428384598523,0.3876255526912283,handshake
11.5,3.0064953939539993,-6.233615893702937,0.42579206490594707,handshake
12.0,3.104043576736319,-6.376740649725126,0.4490836388967288,handshake
12.5,3.1591836089898826,-6.5297856812636486,0.458533647418868,handshake
13.0,3.1701906697977686,-6.683342866363544,0.45579665984783313,handshake
17.0,3.137209949604052,-6.827423940777777,0.4428902104445365,handshake
18.5,3.0621999515254243,-6.952232971329522,0.4219497121984124,handshake
24.5,2.948780438728089,-7.048848977484416,0.3950190381705349,handshake
27.0,2.8019985602677604,-7.109781840877083,0.3638935190019425,handshake
27.5,2.6280308884992833,-7.1293803535707,0.33002513788170307,handshake
28.5,2.433841731433984,-7.104086519980177,0.2944923266079329,handshake
29.5,2.2268191702948847,-7.03254356116821,0.25802974283172886,handshake
30.0,2.01440996806197,-6.91557533768086,0.22110740594341383,handshake
30.5,1.8037730305625033,-6.756061412404288,0.18404409670606495,handshake
31.0,1.6014687409311734,-6.558734510669501,0.14713729952893018,handshake
31.5,1.413198483171146,-6.329925981080791,0.11079129772859873,handshake
32.0,1.2436052315837145,-6.077280732999248,0.07562624065928829,handshake
32.5,1.096142367622756,-5.8094570760052155,0.042553844697052236,handshake
33.0,0.9730140098799901,-5.535820156928245,0.012809504376453224,handshake
33.5,0.8751862085871369,-5.266131548910681,-0.012064464526499702,handshake
34.0,0.8024644862800651,-5.010233108540414,-0.030284427467157798,handshake
34.5,0.7536295694904711,-4.777721279687009,-0.0399346788996583,handshake
35.0,0.726619968151202,-4.577608946199508,-0.039110533307992176,handshake
35.5,0.7187475582044245,-4.41797557868485,-0.026081835356084576,handshake
36.0,0.7269307258077787,-4.305612150820894,0.0005388484636796748,handshake
36.5,0.747929086147341,-4.245674081629472,0.04163987274466188,handshake
37.0,0.7785643393614642,-4.241362006814766,0.09748165448916529,handshake
37.5,0.8159134005325315,-4.293655165342579,0.16760855167894922,handshake
38.0,0.8574623775199137,-4.401124456107264,0.2508109414655898,handshake
38.5,0.9012130550954891,-4.559851005511724,0.3451422082807145,handshake
39.0,0.9457370541440022,-4.763471150990459,0.4479901236963003,handshake
39.5,0.9901765700608837,-5.003360436284965,0.5561969651172877,handshake
40.0,1.034194380048592,-5.268958421554557,0.6662182521013258,handshake
40.5,1.0778794754784966,-5.548224122711408,0.7743066779517555,handshake
