"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.518036250E-1,3.780002725E-1,1.970769135E-1,-1.846512696E-1
8.618526250E-1,7.753051275E-1,2.957998225E-1,-3.094913703E-1
8.719026250E-1,9.103225994E-1,3.240205318E-1,-3.277712283E-1
8.819526250E-1,7.595059508E-1,2.874000049E-1,-2.917175889E-1
8.920016250E-1,4.240009028E-1,1.878570056E-1,-2.510548818E-1
9.020516250E-1,6.607178271E-2,8.516058465E-2,-1.748640539E-1
9.121016250E-1,-2.217509758E-1,1.635144621E-2,-1.032168049E-1
9.221506250E-1,-4.380470842E-1,-5.253578911E-2,-3.718507558E-2
9.322006250E-1,-5.664203650E-1,-1.351987356E-1,3.503242314E-2
9.422506250E-1,-5.002713990E-1,-1.835593021E-1,2.678258657E-2
9.522996250E-1,-2.881344151E-1,-1.737184564E-1,-9.378495365E-3
9.623496250E-1,-9.632001400E-2,-1.501755014E-1,-6.659569323E-2
9.723996250E-1,1.600265980E-2,-1.122951736E-1,-1.578324303E-1
9.824486250E-1,4.884471595E-2,-7.286390841E-2,-1.295544183E-1
9.924986250E-1,-6.644191146E-2,-4.942945579E-2,-1.205007358E-1
1.002548625E0,-2.419612920E-1,-7.380355597E-3,-1.193346548E-1
1.012597625E0,-3.237620848E-1,3.078325152E-2,-5.186070979E-2
1.022647625E0,-3.228247762E-1,6.673191508E-2,3.601592481E-3
1.032697625E0,-3.074384129E-1,9.243305912E-2,-1.012343064E-2
1.042746625E0,-2.010787296E-1,1.103507003E-1,-2.174637973E-2
1.052796625E0,9.200535357E-2,1.413456028E-1,-8.637404636E-2
1.062846625E0,1.886545658E-1,2.002320528E-1,-1.395443863E-1
1.072895625E0,1.355390435E-1,1.921971014E-1,-1.585139233E-1
1.082945625E0,4.171579063E-2,1.369949820E-1,-9.906498939E-2
1.092995625E0,-1.266249633E-1,7.345972141E-2,-6.361507505E-2
1.103044625E0,-2.617014921E-1,2.767602285E-2,-3.134239152E-2
1.113094625E0,-3.172623199E-1,-2.976819316E-2,-3.527756765E-2
