"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.208946250E-1,-9.965676270E0,1.790277100E-1,1.911974030E0
9.309446250E-1,-1.014530273E1,9.145980835E-2,1.976938934E0
9.409946250E-1,-1.015742752E1,1.871109009E-2,2.027234344E0
9.510436250E-1,-9.978549500E0,6.436614990E-3,1.984872437E0
9.610936250E-1,-9.756561127E0,3.173400879E-2,1.977837067E0
9.711436250E-1,-9.621242523E0,6.526428223E-2,1.872007141E0
9.811926250E-1,-9.547146606E0,1.085243225E-1,1.861678619E0
9.912426250E-1,-9.611063690E0,1.360670471E-1,1.877246246E0
1.001292625E0,-9.783804474E0,1.692979431E-1,1.863325195E0
1.011341625E0,-9.916129303E0,2.119592285E-1,1.901346130E0
1.021391625E0,-9.929152222E0,2.487826538E-1,1.973047028E0
1.031441625E0,-9.919572144E0,2.796185303E-1,1.988015900E0
1.041490625E0,-9.869725800E0,3.046165466E-1,1.983525238E0
1.051540625E0,-9.617500305E0,3.240760803E-1,1.954186249E0
1.061590625E0,-9.412576447E0,3.849993896E-1,1.887574768E0
1.071639625E0,-9.440418549E0,4.113446045E-1,1.843715973E0
1.081689625E0,-9.518106995E0,3.712280273E-1,1.868414612E0
1.091739625E0,-9.664203186E0,3.065625000E-1,1.907633057E0
1.101788625E0,-9.829309845E0,2.589614868E-1,1.927242279E0
1.111838625E0,-9.915231171E0,2.136058044E-1,1.940414886E0
1.121888625E0,-9.910441132E0,1.523831177E-1,1.953886871E0
1.131937625E0,-9.873767395E0,1.291813660E-1,2.005379791E0
1.141987625E0,-9.808652802E0,1.317260742E-1,1.932930450E0
1.152037625E0,-9.572893066E0,1.634600830E-1,1.924996948E0
1.162086625E0,-9.460626526E0,2.131567383E-1,1.895508270E0
1.172136625E0,-9.475445709E0,2.359094238E-1,1.857038269E0
1.182186625E0,-9.483828278E0,2.546205139E-1,1.844314728E0
1.192235625E0,-9.498647461E0,2.487826538E-1,1.869312744E0
1.202285625E0,-9.530231781E0,2.106120300E-1,1.917662201E0
1.212335625E0,-9.621990967E0,1.926493835E-1,1.937121735E0
1.222384625E0,-9.717642059E0,1.778302002E-1,2.012564850E0
1.232434625E0,-9.796977081E0,1.675016785E-1,2.058968353E0
1.242484625E0,-9.816885681E0,1.651066589E-1,2.084116058E0
1.252533625E0,-9.780661011E0,1.642085266E-1,2.110012207E0
1.262583625E0,-9.672585754E0,1.929487610E-1,2.097737732E0
1.272633625E0,-9.463320923E0,2.236349487E-1,2.085463257E0
1.282682625E0,-9.304351501E0,2.721340942E-1,2.083068237E0
1.292732625E0,-9.301806793E0,3.109034729E-1,2.032922516E0
1.302782625E0,-9.420809326E0,3.502716064E-1,1.998045044E0
1.312831625E0,-9.575737152E0,3.453318787E-1,2.057770844E0
1.322881625E0,-9.749974823E0,3.131488037E-1,2.117197266E0
1.332931625E0,-9.840237122E0,2.728825378E-1,2.139051819E0
1.342980625E0,-9.857900391E0,2.562670898E-1,2.162552948E0
1.353030625E0,-9.857601013E0,2.270777893E-1,2.188149719E0
1.363079625E0,-9.867929535E0,2.049238586E-1,2.198328552E0
1.373129625E0,-9.774074707E0,2.186952209E-1,2.200873260E0
1.383179375E0,-9.587562561E0,2.493814087E-1,2.154619446E0
1.393228375E0,-9.444160767E0,2.643502808E-1,2.151026917E0
1.403278375E0,-9.429491272E0,2.721340942E-1,2.162103882E0
1.413328375E0,-9.461973724E0,2.751278687E-1,2.151176605E0
1.423377375E0,-9.529183960E0,2.908451843E-1,2.178270264E0
1.433427375E0,-9.588460693E0,2.800675964E-1,2.200573883E0
1.443477375E0,-9.617051239E0,2.589614868E-1,2.227667542E0
1.453526375E0,-9.619446259E0,2.380050659E-1,2.253863068E0
1.463576375E0,-9.601782990E0,2.053729248E-1,2.291734314E0
1.473626375E0,-9.601034546E0,1.559756470E-1,2.304757233E0
1.483675375E0,-9.622889099E0,1.434017944E-1,2.288441162E0
1.493725375E0,-9.636211395E0,1.508862305E-1,2.303110657E0
1.503775375E0,-9.662406921E0,1.651066589E-1,2.292931824E0
1.513824375E0,-9.680369568E0,1.686991882E-1,2.276915131E0
1.523874375E0,-9.667646027E0,1.787283325E-1,2.245929565E0
1.533924375E0,-9.675729218E0,2.080673218E-1,2.277364197E0
1.543973375E0,-9.666747894E0,2.287243652E-1,2.277962952E0
1.554023375E0,-9.640103302E0,2.640509033E-1,2.272574158E0
1.564073375E0,-9.662257233E0,2.974314880E-1,2.277962952E0
1.574122375E0,-9.625583496E0,3.023712158E-1,2.275867310E0
1.584172375E0,-9.530980225E0,3.144960022E-1,2.277364197E0
1.594222375E0,-9.432934113E0,3.080593872E-1,2.290985870E0
1.604271375E0,-9.418863373E0,2.866539001E-1,2.268083496E0
1.614321375E0,-9.451495514E0,2.827619934E-1,2.290686493E0
1.624371375E0,-9.518556061E0,2.824626160E-1,2.261646881E0
1.634420375E0,-9.574988708E0,2.636018372E-1,2.263742523E0
1.644470375E0,-9.598639526E0,2.309696960E-1,2.257305908E0
1.654520375E0,-9.622889099E0,1.987866211E-1,2.229463806E0
1.664569375E0,-9.612410889E0,1.974394226E-1,2.201472015E0
1.674619375E0,-9.604028320E0,2.026785278E-1,2.167792053E0
1.684669375E0,-9.618997192E0,2.239343262E-1,2.169738007E0
1.694718375E0,-9.622290344E0,2.242337036E-1,2.174677734E0
1.704768375E0,-9.568851471E0,2.279759216E-1,2.194885712E0
1.714818375E0,-9.561516724E0,2.248324585E-1,2.217788086E0
1.724867375E0,-9.592951355E0,2.371069336E-1,2.269281006E0
1.734917375E0,-9.611662445E0,2.495310974E-1,2.277962952E0
1.744967375E0,-9.613009644E0,2.436932373E-1,2.299069061E0
1.755016375E0,-9.607471161E0,2.176473999E-1,2.311044159E0
1.765066375E0,-9.623487854E0,2.252815247E-1,2.314037933E0
1.775116375E0,-9.620194702E0,2.399510193E-1,2.317181396E0
1.785165375E0,-9.581125946E0,2.534230042E-1,2.342029724E0
1.795215375E0,-9.556726685E0,2.682421875E-1,2.314337311E0
1.805265375E0,-9.590107269E0,2.939886475E-1,2.265239410E0
1.815314375E0,-9.594448242E0,2.912942505E-1,2.251318359E0
1.825364375E0,-9.551487579E0,2.802172852E-1,2.221081238E0
1.835414375E0,-9.512269135E0,2.538720703E-1,2.249971161E0
1.845463375E0,-9.530082092E0,2.396516418E-1,2.267484741E0
1.855513375E0,-9.591903534E0,2.471360779E-1,2.254910889E0
1.865563375E0,-9.699679413E0,2.377056885E-1,2.240540771E0
1.875612375E0,-9.705367584E0,2.068698120E-1,2.255359955E0
1.885662375E0,-9.641001434E0,1.880090332E-1,2.236948242E0
1.895711375E0,-9.595945129E0,1.731898499E-1,2.273472290E0
1.905761375E0,-9.598489838E0,1.886077881E-1,2.299518127E0
1.915811375E0,-9.621841278E0,2.010319519E-1,2.310894470E0
1.925860375E0,-9.610015869E0,2.255809021E-1,2.275567932E0
1.935910375E0,-9.603579254E0,2.287243652E-1,2.297422485E0
1.945960375E0,-9.563312988E0,2.197430420E-1,2.335144043E0
1.956009375E0,-9.514813843E0,2.351609802E-1,2.336491241E0
1.966059375E0,-9.530082092E0,2.698887634E-1,2.328258362E0
1.976109375E0,-9.551038513E0,2.737806702E-1,2.302212524E0
1.986158375E0,-9.550739136E0,2.496807861E-1,2.317630463E0
1.996208375E0,-9.561816101E0,2.267784119E-1,2.333647156E0
2.006258375E0,-9.566007385E0,2.125579834E-1,2.345023499E0
2.016307375E0,-9.583520966E0,2.125579834E-1,2.379900970E0
2.026357375E0,-9.578132172E0,2.148033142E-1,2.333497467E0
2.036407375E0,-9.585466919E0,2.339634705E-1,2.302362213E0
2.046456375E0,-9.597591705E0,2.517764282E-1,2.256856842E0
2.056506375E0,-9.580227814E0,2.401007080E-1,2.237546997E0
2.066556375E0,-9.558822327E0,2.113604736E-1,2.236948242E0
2.076605375E0,-9.560319214E0,2.053729248E-1,2.248474274E0
2.086655375E0,-9.589957581E0,2.050735474E-1,2.270777893E0
2.096705375E0,-9.641600189E0,1.953437805E-1,2.325563965E0
2.106754375E0,-9.641300812E0,1.956431580E-1,2.318378906E0
2.116804375E0,-9.635462952E0,2.058219910E-1,2.315235443E0
2.126854375E0,-9.634714508E0,2.083666992E-1,2.320324860E0
