"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.618526250E-1,1.512959599E-1,9.738228470E-2,1.323686987E-1
8.719026250E-1,1.041026115E-1,2.561860383E-1,7.016684860E-2
8.819526250E-1,5.478738993E-2,3.760565519E-1,3.518033074E-3
8.920016250E-1,6.065126508E-3,4.099921286E-1,-4.647722095E-2
9.020516250E-1,-2.032585628E-2,3.449192643E-1,-7.593555748E-2
9.121016250E-1,-2.286784351E-2,2.010878026E-1,-9.739185125E-2
9.221506250E-1,-1.532445196E-3,3.677754477E-2,-9.429941326E-2
9.322006250E-1,3.858328238E-2,-1.122705266E-1,-6.808912009E-2
9.422506250E-1,7.531893253E-2,-1.552217156E-1,-3.010552004E-2
9.522996250E-1,9.951907396E-2,-1.262145638E-1,-6.912581623E-3
9.623496250E-1,9.837006032E-2,-5.840528756E-2,-1.406276599E-3
9.723996250E-1,7.929570228E-2,2.626858652E-2,-1.412668265E-3
9.824486250E-1,5.325875431E-2,8.543149382E-2,-8.672351949E-3
9.924986250E-1,3.159100935E-2,8.773139864E-2,-1.497365721E-2
1.002548625E0,1.386504434E-2,6.110510603E-2,-8.869754151E-3
1.012597625E0,1.104742009E-2,1.486277953E-2,8.573417552E-3
1.022647625E0,2.208492160E-2,-6.269077212E-2,1.606249437E-2
1.032697625E0,4.481420293E-2,-1.303417236E-1,1.739087887E-2
1.042746625E0,6.928668916E-2,-9.853035212E-2,2.613735572E-2
1.052796625E0,6.985234469E-2,-4.510867223E-2,3.304586187E-2
1.062846625E0,5.668215081E-2,4.605087638E-2,2.845346555E-2
1.072895625E0,3.435447440E-2,1.117832884E-1,2.312394604E-2
1.082945625E0,1.803305373E-2,1.278708279E-1,1.678466424E-2
1.092995625E0,1.193601266E-2,9.060814977E-2,1.411378011E-2
1.103044625E0,1.526026241E-2,1.129842550E-2,1.622012071E-2
1.113094625E0,2.534085885E-2,-6.651993841E-2,2.221010253E-2
1.123144625E0,4.939164966E-2,-1.525464654E-1,2.363406308E-2
1.133193625E0,7.247672230E-2,-1.923391521E-1,2.346095815E-2
1.143243625E0,7.875621319E-2,-1.828640252E-1,2.341858298E-2
1.153293625E0,7.236009836E-2,-1.377444863E-1,2.207848057E-2
1.163342625E0,4.940840974E-2,-7.434020191E-2,1.433540136E-2
1.173392625E0,1.850934885E-2,-1.964286901E-2,1.049618796E-2
1.183442625E0,-7.743167225E-3,4.367138259E-3,1.566593768E-3
1.193491625E0,-2.611844800E-2,3.935173154E-3,-1.247945055E-2
1.203541625E0,-3.080577217E-2,-2.919136360E-2,-1.491802931E-2
1.213591625E0,-1.862234250E-2,-8.122339845E-2,-1.619687863E-2
1.223640625E0,-2.504510805E-3,-1.662815362E-1,-2.027475648E-2
1.233690625E0,2.066046372E-2,-2.653673887E-1,-1.907979511E-2
1.243740625E0,4.701644927E-2,-3.554235101E-1,-1.443787571E-2
1.253789625E0,6.468785554E-2,-3.743615150E-1,-6.206844002E-3
1.263839625E0,6.974241138E-2,-3.154434860E-1,4.964537919E-3
1.273889625E0,6.435350329E-2,-1.904639900E-1,6.774954498E-3
1.283938625E0,3.759025782E-2,-6.035593152E-2,-2.612501383E-3
1.293988625E0,-1.492959913E-3,3.516925871E-2,-1.668970473E-2
1.304038625E0,-3.314805776E-2,8.636053652E-2,-2.297935449E-2
1.314087625E0,-4.342306405E-2,8.245581388E-2,-1.906024665E-2
1.324137625E0,-4.494774342E-2,4.541803151E-2,-1.627108641E-2
1.334187625E0,-3.373636305E-2,-1.718036830E-2,-1.325638779E-2
1.344236625E0,-1.787355356E-2,-9.826739132E-2,-8.648194373E-3
1.354286625E0,2.247959841E-3,-1.645289660E-1,-3.939725924E-3
1.364335625E0,2.080023289E-2,-1.971484125E-1,5.138644949E-3
1.374385375E0,2.339361981E-2,-1.833820045E-1,1.383333374E-2
1.384435375E0,1.950511709E-2,-1.304402500E-1,1.327789389E-2
1.394484375E0,5.042554345E-3,-5.014701560E-2,1.122805849E-2
1.404534375E0,-1.223857887E-2,1.574164815E-2,9.875861928E-3
1.414584375E0,-2.851502039E-2,5.236277357E-2,1.165352203E-2
1.424633375E0,-4.046535864E-2,5.138097703E-2,5.416600965E-3
1.434683375E0,-4.575705901E-2,3.191034123E-2,-3.327622544E-3
1.444733375E0,-4.003889114E-2,8.637572173E-4,-4.250893369E-3
1.454782375E0,-2.894523181E-2,-2.834446169E-2,-1.319645159E-2
1.464832375E0,-1.214329526E-2,-4.049500450E-2,-1.836653985E-2
1.474882375E0,-1.893320121E-3,-4.583890364E-2,-1.856867410E-2
1.484931375E0,8.521307260E-3,-3.782518953E-2,-8.014691994E-3
1.494981375E0,1.288329810E-2,-2.691288665E-2,-1.961326925E-3
1.505031375E0,7.352677174E-3,-1.893964782E-2,5.448714830E-3
1.515080375E0,2.957662567E-3,-1.930157095E-2,8.672471158E-3
1.525130375E0,-1.735643949E-3,-2.046071179E-2,1.101049222E-2
1.535180375E0,2.123542596E-3,-3.169578686E-2,9.941499680E-3
1.545229375E0,-1.743417233E-4,-4.268999398E-2,1.071939245E-2
1.555279375E0,4.666486289E-3,-5.878188089E-2,1.238386892E-2
1.565329375E0,4.158869386E-3,-6.510142237E-2,1.671233587E-2
1.575378375E0,8.115794510E-3,-6.034955010E-2,1.321667060E-2
1.585428375E0,1.316072978E-2,-4.045638815E-2,1.057909057E-2
1.595478375E0,1.799356937E-2,-3.431791672E-3,7.929779589E-3
1.605527375E0,2.286123671E-2,2.360007353E-2,3.773007309E-3
1.615577375E0,1.956743933E-2,3.855292127E-2,6.049743854E-3
1.625627375E0,1.578910835E-2,3.805652261E-2,2.534292638E-3
1.635676375E0,1.586580649E-2,1.950440742E-2,2.001127694E-3
1.645726375E0,1.748550311E-2,-3.357653040E-4,-3.781267675E-3
1.655776375E0,1.752571575E-2,-1.272505708E-2,-6.388768554E-3
1.665825375E0,1.077477727E-2,-2.224641293E-2,-7.178440690E-3
1.675875375E0,4.934731405E-3,-1.548810862E-2,-5.116621964E-3
1.685925375E0,-2.690479159E-3,-1.614880189E-2,-2.708030399E-3
1.695974375E0,-7.604810409E-3,-5.570725538E-3,-4.779170733E-3
1.706024375E0,-8.297642693E-3,-9.746441618E-3,-9.873216972E-3
1.716074375E0,1.118229702E-3,-9.112076834E-3,-1.323332731E-2
1.726123375E0,1.637707464E-3,-1.402852777E-2,-1.187572721E-2
1.736173375E0,6.226600613E-3,-1.241491828E-2,-1.149649266E-2
