"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717520558817718E9,"2024-06-04 19:02:38.818 UTC+02:00"
"PAUSE",6.001164845833409E1,1.717520618829967E9,"2024-06-04 19:03:38.830 UTC+02:00"
