"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717520856200129E9,"2024-06-04 19:07:36.200 UTC+02:00"
"PAUSE",6.000791587499407E1,1.717520916208588E9,"2024-06-04 19:08:36.209 UTC+02:00"
