time,X (m/s^2),Y (m/s^2),Z (m/s^2),label
3597.5,281.36810668324443,-0.0363317942641544,0.0949425125129838,clapping
3598.0,1139.0460788852242,-5.933604935720075,-0.4922929876262094,clapping
22.0,-1.2819857759979998,-11.706135051060002,-0.39969363268926,handshake
2105.5,4.4860710365916,-12.46460065843333,-2.152250490578726,highfive
2107.0,3.269978029874667,-11.504619075316668,-1.6155871967909,highfive
2131.0,5.7367347513223335,-11.846597248120531,-2.5017364575436662,highfive
2132.5,3.4673630080495665,-11.986537149643336,-1.046599583604,highfive
2134.0,2.8253569205436,-12.154533471850469,-1.9240727538388,highfive
2142.0,4.892149050680334,-12.196198786027336,-0.7201440589279997,highfive
2143.5,6.048643908219066,-12.032166311899664,-3.6556684843365073,highfive
2146.5,5.778137649555466,-11.786641623900332,-1.6394136664200003,highfive
2148.0,5.286682666630266,-12.772545433027268,-1.4103295352749998,highfive
2149.5,5.395689619765567,-11.572028658497336,-0.7426352101346667,highfive
2161.5,6.619162984720001,-13.3443085822188,-1.4447985199286666,highfive
2163.0,5.324193519059801,-11.970498039011668,-0.8931759286680331,highfive
2166.0,4.840040183144334,-11.583456901378662,-0.0653439578463331,highfive
2167.5,4.3205853203624995,-11.574850004147669,0.9216607409713335,highfive
2171.0,4.047616949163933,-12.130698455456663,-0.0663061313963333,highfive
2174.5,3.08728517016,-13.255808935033336,2.1423263544574667,highfive
2179.5,2.6660123348100933,-12.627455805240002,2.526805851765333,highfive
2183.0,4.822836082334334,-11.375380717936,0.1353266714215335,highfive
2185.0,3.6347763912742,-13.030233529316668,1.1790658429306005,highfive
2191.0,4.233915890207913,-11.732255045596668,3.20884436239,highfive
2196.5,7.560275655414333,-13.333879912575334,-1.8070438175585333,highfive
2198.5,3.9952199376518,-11.950642851003334,1.2810868038226666,highfive
2207.5,4.429486472947134,-12.698710493516003,0.5910509831426668,highfive
2209.5,4.2080849618982,-13.275046558593331,1.3032175649886666,highfive
2215.0,4.696039312713999,-13.165893214961995,-1.1195166961249994,highfive
2217.0,2.3505798887970664,-12.309965960243336,2.751986092207667,highfive
2226.0,6.152140771858866,-11.649872817843663,-0.7860499428683334,highfive
2228.0,2.548427920623133,-12.405984770543334,1.3645146681376668,highfive
2231.5,5.504995745316666,-11.862672366726663,0.7936512725900003,highfive
2233.5,6.155890837292666,-13.108774441681533,-2.18496239045854,highfive
2276.5,5.916629259187333,-12.74435330844333,0.5721664659570002,highfive
2279.0,6.608468561109734,-11.805306596929334,-4.418984965170335,highfive
2289.5,5.894837732763667,-13.446072021966668,-0.5787633608403335,highfive
2293.5,3.707562770486333,-11.789080027133334,2.289567523996,highfive
2295.5,2.6683294596113063,-11.503118384966667,3.763525458129667,highfive
2301.5,4.680666209243999,-12.26752195714,3.1314243404336333,highfive
2340.5,5.497662689064332,-12.087565987906668,1.1280889170636668,highfive
2365.0,6.380391438806666,-11.945793414783331,0.6296377452036662,highfive
3285.0,-1.53406130096,-13.29318286712,4.100979357508001,clapping
3285.5,-0.4092254387199998,-13.9643405938298,3.16544699923,clapping
3289.5,0.8891021883739999,-15.283585904574002,2.094952890148,clapping
3292.5,4.436510867110204,-11.679440141619798,5.819548873971428,clapping
3293.0,1.0895398238139995,-15.86040877067,7.182385059526001,clapping
3297.0,6.121610713311998,-13.978523179282003,6.490507161294,clapping
3297.5,2.5660135177080003,-13.567180060117998,5.1233654834264,clapping
3601.5,0.5889963199299999,-12.14489565378,0.80440333451,waving
3606.0,-1.0955044376980394,-11.43322594315686,-0.1815234622709803,waving
3606.5,0.1352208997099999,-13.00873930842,1.5425785839725996,waving
3607.0,0.2530997408520004,-14.976637851,0.8167049524700001,waving
3607.5,0.3622922715440002,-15.50501576344,0.9030657110313643,waving
3608.0,0.3842615412859999,-13.337850086899998,0.8829196779098488,waving
3608.5,1.39760080694,-12.397311533260002,0.563875741716,waving
3609.0,0.2835135881479999,-12.382703153840003,0.7234242654401999,waving
3609.5,0.3178609201480002,-11.33758501856,1.175762649132,waving
3611.0,1.512631390862,-12.790895523579998,2.4835600791520003,waving
3611.5,0.297520932854,-12.431501500619998,2.3588288066474004,waving
3612.0,-0.0720202067117648,-12.376335348411764,2.844795327335295,waving
3613.5,0.1715328368479996,-13.15220868504,0.9241784364,waving
3614.0,-0.693885733466,-12.068900771340004,2.375704517478,waving
3614.5,-0.5887443678320003,-13.3545603768,1.9533451925258,waving
3616.0,0.9577211582099998,-12.07766793476,2.3939913481356,waving
3618.5,0.1682945440997998,-15.3107854558,4.8836552479519995,waving
3619.0,2.112987986802,-14.91488698522,3.877700199818801,waving
3619.5,3.3173544926589993,-13.463061953759995,4.375475606296,waving
3620.0,1.7979529045726002,-12.42409510216,5.335536721783999,waving
3620.5,0.7183955340519997,-12.892400825820005,3.9557568187206,waving
3621.0,0.7511792027679999,-12.12127937972,4.25707075277,waving
3621.5,0.4417641500520001,-12.35481140828,2.874371288368,waving
3622.0,-1.7693114052056005,-14.12565719242,3.888259021671999,waving
3623.0,-0.0471637514649089,-13.53281596226,5.362727490699999,waving
3623.5,1.8863071353122003,-12.502565121720002,4.041918930832,waving
3630.5,1.4426807894610962,-11.326733322117644,4.013383082724509,waving
3637.5,1.056671797672,-12.245974645460002,1.3606955090259998,waving
3638.5,1.040783049892,-11.42340091928,5.442156835412,waving
