"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.052550000E-1,5.264972687E0,-4.852084351E1,1.009127808E1
9.152380000E-1,4.193958282E0,-4.823617554E1,1.205865479E1
9.252210000E-1,3.003871918E0,-4.779821777E1,1.414578247E1
9.352040000E-1,1.405311584E0,-4.742767334E1,1.621395874E1
9.451870000E-1,-4.342575073E-1,-4.675964355E1,1.800653076E1
9.551700000E-1,-2.577178955E0,-4.609793091E1,2.000790405E1
9.651530000E-1,-4.285720825E0,-4.518795776E1,2.153771973E1
9.751360000E-1,-5.274971008E0,-4.444354248E1,2.309487915E1
9.851190000E-1,-5.798408508E0,-4.329748535E1,2.452160645E1
9.951020000E-1,-5.520637512E0,-4.262377930E1,2.557693481E1
1.005085000E0,-4.798614502E0,-4.184542847E1,2.671054077E1
1.015068000E0,-3.616729736E0,-4.149057007E1,2.714483643E1
1.025051000E0,-2.383026123E0,-4.137133789E1,2.737854004E1
1.035034000E0,-1.267921448E0,-4.141104126E1,2.749203491E1
1.045017000E0,-3.834381104E-1,-4.144274902E1,2.718569946E1
1.055000000E0,4.903335571E-1,-4.157510376E1,2.691262817E1
1.064984000E0,1.085197449E0,-4.179196167E1,2.670727539E1
1.074967000E0,1.540794373E0,-4.218331909E1,2.600189209E1
1.084950000E0,1.540794373E0,-4.218331909E1,2.600189209E1
1.094933000E0,2.243644714E0,-4.243789673E1,2.546334839E1
1.104916000E0,2.883457184E0,-4.273626709E1,2.477185059E1
1.114899000E0,3.662693024E0,-4.315176392E1,2.423107910E1
1.124882000E0,4.400577545E0,-4.357031250E1,2.321875000E1
1.134865000E0,5.041965485E0,-4.392251587E1,2.262121582E1
1.144848000E0,5.625640869E0,-4.416174316E1,2.195333862E1
1.154831000E0,5.972148895E0,-4.438787842E1,2.120770264E1
1.164814000E0,6.282218933E0,-4.458715820E1,2.053366089E1
1.174797000E0,6.638095856E0,-4.487664795E1,2.046292114E1
1.184780000E0,6.824012756E0,-4.492752075E1,2.020513916E1
1.194763000E0,6.958339691E0,-4.492105103E1,1.964483643E1
1.204746000E0,7.111167908E0,-4.490789795E1,1.897326660E1
1.214729000E0,7.286048889E0,-4.520440674E1,1.852517700E1
1.224712000E0,7.471351624E0,-4.536187744E1,1.812133789E1
1.234695000E0,7.731998444E0,-4.585806274E1,1.717593384E1
1.244678000E0,7.813331604E0,-4.589300537E1,1.592556763E1
1.254661000E0,8.244224548E0,-4.633004761E1,1.487518311E1
1.264644000E0,8.643394470E0,-4.650305176E1,1.367895508E1
1.274627000E0,9.343147278E0,-4.686654663E1,1.220004272E1
1.284610000E0,1.004066467E1,-4.693908691E1,1.087747192E1
1.294593000E0,1.063154602E1,-4.704660034E1,9.653167725E0
1.304576000E0,1.129117584E1,-4.714620972E1,7.966827393E0
1.314559000E0,1.187671661E1,-4.727786255E1,6.375488281E0
1.324542000E0,1.235411072E1,-4.712872314E1,4.500915527E0
1.334525000E0,1.274429321E1,-4.714584351E1,2.745422363E0
1.344508000E0,1.315531158E1,-4.703152466E1,1.041137695E0
1.354491000E0,1.350484848E1,-4.703393555E1,-5.500793457E-1
1.364474000E0,1.384881592E1,-4.687274170E1,-1.852783203E0
1.374457000E0,1.384881592E1,-4.687274170E1,-1.852783203E0
1.384440000E0,1.414831924E1,-4.664755249E1,-3.870056152E0
1.394423000E0,1.430890274E1,-4.628829956E1,-5.696838379E0
1.404406000E0,1.447355652E1,-4.594320679E1,-7.375030518E0
1.414389000E0,1.487952042E1,-4.573605347E1,-9.037658691E0
1.424372000E0,1.510112381E1,-4.511248779E1,-1.060580444E1
1.434355000E0,1.542876434E1,-4.483129883E1,-1.200830078E1
1.444338000E0,1.850729370E1,-3.651049805E1,-1.405953979E1
1.454321000E0,1.869696045E1,-3.617791748E1,-1.548782349E1
1.464304000E0,1.893387985E1,-3.565264893E1,-1.638235474E1
1.474287000E0,1.936222458E1,-3.508654785E1,-1.737338257E1
1.484270000E0,1.965451431E1,-3.449935913E1,-1.808764648E1
1.494253000E0,2.019329071E1,-3.394219971E1,-1.889398193E1
1.504236000E0,2.067627335E1,-3.327862549E1,-1.941818237E1
1.514219000E0,2.114950180E1,-3.284494019E1,-1.952920532E1
1.524202000E0,2.138342285E1,-3.232867432E1,-1.965856934E1
1.534185000E0,2.177734756E1,-3.214224243E1,-2.007489014E1
1.544168000E0,2.181967545E1,-3.179351807E1,-2.013284302E1
1.554151000E0,2.209553146E1,-3.177178955E1,-1.991186523E1
1.564134000E0,2.205243683E1,-3.172793579E1,-1.956979370E1
1.574117000E0,2.217636108E1,-3.185806274E1,-1.936999512E1
1.584101000E0,2.215546799E1,-3.189331055E1,-1.912161255E1
1.594084000E0,2.221866226E1,-3.212884521E1,-1.885250854E1
1.604067000E0,2.209498215E1,-3.229953003E1,-1.833810425E1
1.614050000E0,2.198485184E1,-3.256378174E1,-1.797799683E1
1.624033000E0,2.172896576E1,-3.281634521E1,-1.738446045E1
1.634016000E0,2.173329544E1,-3.312359619E1,-1.700595093E1
1.643999000E0,2.155029678E1,-3.322482300E1,-1.645068359E1
1.653982000E0,2.134223557E1,-3.348007202E1,-1.605902100E1
1.663965000E0,2.134223557E1,-3.348007202E1,-1.605902100E1
1.673948000E0,2.123554611E1,-3.376406860E1,-1.563415527E1
1.683931000E0,2.108685303E1,-3.385794067E1,-1.528845215E1
1.693914000E0,2.094474792E1,-3.401217651E1,-1.493841553E1
1.703897000E0,2.089197922E1,-3.415881348E1,-1.481631470E1
1.713880000E0,2.084239197E1,-3.422949219E1,-1.468380737E1
1.723863000E0,2.087850189E1,-3.409872437E1,-1.475607300E1
1.733846000E0,2.097508240E1,-3.421328735E1,-1.470111084E1
1.743829000E0,2.082697296E1,-3.413424683E1,-1.471240234E1
1.753812000E0,2.082541656E1,-3.398718262E1,-1.499023438E1
1.763795000E0,2.096672821E1,-3.395877075E1,-1.513977051E1
1.773778000E0,2.102688217E1,-3.376336670E1,-1.551742554E1
1.783761000E0,2.098712921E1,-3.341955566E1,-1.567010498E1
1.793744000E0,2.085707092E1,-3.335153198E1,-1.606161499E1
1.803727000E0,2.076607513E1,-3.319781494E1,-1.651611328E1
1.813710000E0,2.075841904E1,-3.309948730E1,-1.686923218E1
1.823693000E0,2.061820602E1,-3.292050171E1,-1.715618896E1
1.833676000E0,2.067066956E1,-3.290246582E1,-1.743054199E1
1.843659000E0,2.057104874E1,-3.284152222E1,-1.758380127E1
1.853642000E0,2.058405685E1,-3.283093262E1,-1.769476318E1
1.863625000E0,2.071807480E1,-3.276852417E1,-1.752297974E1
1.873608000E0,2.079867172E1,-3.267672729E1,-1.768032837E1
1.883591250E0,2.079183960E1,-3.262677002E1,-1.761495972E1
1.893574250E0,2.089954758E1,-3.268862915E1,-1.785003662E1
1.903557250E0,2.084902191E1,-3.251208496E1,-1.784445190E1
1.913540250E0,2.088129425E1,-3.251641846E1,-1.799417114E1
1.923523250E0,2.073549652E1,-3.241558838E1,-1.814904785E1
1.933506250E0,2.079787445E1,-3.247631836E1,-1.823245239E1
1.943489250E0,2.079787445E1,-3.247631836E1,-1.823245239E1
1.953472250E0,2.065246964E1,-3.238070679E1,-1.830029297E1
1.963455250E0,2.057324982E1,-3.250534058E1,-1.836331177E1
1.973438250E0,2.050354385E1,-3.234481812E1,-1.843997192E1
1.983421250E0,2.037653351E1,-3.239697266E1,-1.866552734E1
1.993404250E0,2.016539001E1,-3.227151489E1,-1.884631348E1
2.003387250E0,2.015651703E1,-3.225421143E1,-1.914575195E1
2.013370250E0,1.991196060E1,-3.192813110E1,-1.964791870E1
2.023353250E0,1.978618240E1,-3.172607422E1,-2.031680298E1
2.033336250E0,1.957744598E1,-3.133627319E1,-2.125982666E1
2.043319250E0,1.924338913E1,-3.085437012E1,-2.229223633E1
2.053302250E0,1.897746658E1,-3.065734863E1,-2.290673828E1
2.063285250E0,1.867979431E1,-3.073776245E1,-2.335980225E1
