"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717519833080450E9,"2024-06-04 18:50:33.080 UTC+02:00"
"PAUSE",6.000811874999636E1,1.717519893089172E9,"2024-06-04 18:51:33.089 UTC+02:00"
