"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.873282917E-1,1.134354115E0,-1.350964047E-2,2.012025267E-1
8.973782917E-1,1.253337026E0,1.070743576E-1,1.973334104E-1
9.074272917E-1,1.379854202E0,1.787128597E-1,1.846801937E-1
9.174772917E-1,1.484663367E0,2.035931200E-1,1.603159308E-1
9.275272917E-1,1.549551010E0,1.995539069E-1,1.417126954E-1
9.375762917E-1,1.554849982E0,1.494701058E-1,1.362631023E-1
9.476262917E-1,1.551240087E0,9.360897541E-2,1.443196982E-1
9.576752917E-1,1.529457688E0,2.857952565E-2,1.738212854E-1
9.677252917E-1,1.516609192E0,-5.724119954E-3,2.076759338E-1
9.777752917E-1,1.513497114E0,-7.412297651E-3,2.339757085E-1
9.878242917E-1,1.515125275E0,-1.150637586E-2,2.528226376E-1
9.978742917E-1,1.508779049E0,-4.904418811E-2,2.734841108E-1
1.007924292E0,1.483887076E0,-7.754746825E-2,3.001133204E-1
1.017973292E0,1.481854916E0,-1.163127720E-1,2.994567454E-1
1.028023292E0,1.459104419E0,-1.906983256E-1,2.926731408E-1
1.038072292E0,1.400047302E0,-2.813466191E-1,2.963475883E-1
1.048122292E0,1.307029486E0,-3.566767871E-1,2.980666757E-1
1.058172292E0,1.184410810E0,-4.329208434E-1,2.988956273E-1
1.068221292E0,1.053039193E0,-4.905316830E-1,2.920686007E-1
1.078271292E0,9.492716193E-1,-5.277357101E-1,2.825240195E-1
1.088321292E0,8.721573949E-1,-5.427601933E-1,2.792440653E-1
1.098370292E0,8.347614408E-1,-5.201205015E-1,2.789767385E-1
1.108420292E0,8.259567618E-1,-4.433506429E-1,2.776350379E-1
1.118469292E0,8.123150468E-1,-3.277696669E-1,2.788217068E-1
1.128519292E0,7.949632406E-1,-2.396091670E-1,2.663469315E-1
1.138569292E0,7.570658326E-1,-1.913726777E-1,2.456246763E-1
1.148618292E0,7.180721164E-1,-1.911756098E-1,2.138331831E-1
1.158668292E0,6.836854219E-1,-2.371890247E-1,1.789193153E-1
1.168718292E0,6.381272674E-1,-2.978952527E-1,1.394523382E-1
1.178767292E0,6.144292355E-1,-3.521059155E-1,1.261801869E-1
1.188817292E0,6.020034552E-1,-3.190776706E-1,1.452119350E-1
1.198866292E0,5.757032037E-1,-2.331368178E-1,1.574751586E-1
1.208916292E0,5.356830955E-1,-1.960736066E-1,1.511062086E-1
1.218966292E0,5.035232306E-1,-1.809421182E-1,1.444749534E-1
1.229015292E0,4.715397358E-1,-1.541014463E-1,1.543456912E-1
1.239065292E0,4.464720786E-1,-1.633192003E-1,1.481899321E-1
1.249115292E0,4.041581750E-1,-2.106409073E-1,1.238896549E-1
1.259164292E0,3.656837344E-1,-2.623341084E-1,9.382047504E-2
1.269214292E0,3.307388127E-1,-2.643328011E-1,6.837823242E-2
1.279263292E0,2.893773913E-1,-2.441701293E-1,4.267003387E-2
1.289313292E0,2.540942430E-1,-2.209609449E-1,1.345036551E-2
1.299363292E0,2.194440812E-1,-2.037045062E-1,2.787087345E-3
1.309412292E0,1.966735125E-1,-1.798553616E-1,4.323198460E-3
1.319462292E0,1.974365562E-1,-1.181482375E-1,8.807668462E-3
