"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.539072917E-1,1.524579620E0,7.416926422E0,5.925577698E0
9.639572917E-1,1.445543976E0,7.361391907E0,5.533692627E0
9.740072917E-1,1.490600281E0,7.302414551E0,5.199737091E0
9.840562917E-1,1.585353241E0,7.282655640E0,4.994513855E0
9.941062917E-1,1.635349274E0,7.290439453E0,4.609215088E0
1.004156292E0,1.574575653E0,7.373217316E0,4.268523560E0
1.014205292E0,1.646575928E0,7.506440277E0,3.946992188E0
1.024255292E0,1.878294067E0,7.651189270E0,3.763922882E0
1.034304292E0,1.940714264E0,7.769443359E0,3.611090698E0
1.044354292E0,1.878743134E0,7.888146515E0,3.232976990E0
1.054404292E0,1.963167572E0,8.044870605E0,2.934647369E0
1.064453292E0,2.184706879E0,8.167765045E0,2.740052032E0
1.074503292E0,2.371518402E0,8.284372559E0,2.647993469E0
1.084553292E0,2.474953308E0,8.343649292E0,2.658172302E0
1.094602292E0,2.551893311E0,8.301437073E0,2.796784058E0
1.104652292E0,2.615960083E0,8.239765320E0,2.892584839E0
1.114701292E0,2.772235107E0,8.220754852E0,2.911146240E0
1.124751292E0,2.959495697E0,8.226892090E0,2.849773865E0
1.134801292E0,3.049159241E0,8.251590729E0,2.709964600E0
1.144850292E0,3.046464844E0,8.335865479E0,2.544558563E0
1.154900292E0,3.020419006E0,8.445287933E0,2.452949066E0
1.164950292E0,3.037633209E0,8.494834900E0,2.412233734E0
1.174999292E0,3.041674805E0,8.515791321E0,2.170935516E0
1.185049292E0,2.971021729E0,8.573421478E0,2.065255280E0
1.195098292E0,2.962040405E0,8.587941284E0,2.115550690E0
1.205148292E0,3.150947571E0,8.632398834E0,1.961820374E0
1.215198292E0,3.258723450E0,8.750203857E0,1.740580444E0
1.225247292E0,3.146007843E0,8.869356079E0,1.792223053E0
1.235297292E0,3.071762238E0,8.911568298E0,1.982477417E0
1.245347292E0,3.174748077E0,8.931327209E0,2.025737457E0
1.255396292E0,3.241509247E0,9.052275696E0,1.972148895E0
1.265446292E0,3.215762787E0,9.167536011E0,1.958527222E0
1.275495292E0,3.261268158E0,9.160949707E0,1.899699554E0
1.285545292E0,3.383563843E0,9.096882935E0,1.816772003E0
1.295595292E0,3.386258240E0,9.106313324E0,1.813478851E0
1.305644292E0,3.278033295E0,9.106762390E0,1.740131378E0
1.315694292E0,3.215313721E0,9.065747681E0,1.868713989E0
1.325744292E0,3.194806366E0,8.988358612E0,2.205663300E0
1.335793292E0,3.145259399E0,8.967252502E0,2.251767426E0
1.345843292E0,3.071163483E0,8.950187988E0,2.165846100E0
1.355892292E0,3.003055115E0,8.966953125E0,2.177072754E0
1.365942292E0,3.025059357E0,8.968000946E0,2.183209991E0
1.375992292E0,3.030448151E0,8.957522736E0,2.148332520E0
1.386041292E0,2.935545502E0,8.966653748E0,2.049987030E0
1.396091292E0,2.873424683E0,8.971593475E0,2.029180298E0
