"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717523841257557E9,"2024-06-04 19:57:21.258 UTC+02:00"
"PAUSE",6.000828483333316E1,1.717523901266506E9,"2024-06-04 19:58:21.267 UTC+02:00"
