"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717530797827742E9,"2024-06-04 21:53:17.828 UTC+02:00"
"PAUSE",1.800109556250027E2,1.717530977835773E9,"2024-06-04 21:56:17.836 UTC+02:00"
