"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.654774167E-1,-1.360265259E-2,2.118480578E-2,-4.943942651E-3
8.755274167E-1,-1.675956324E-2,2.507728152E-2,-2.384911058E-3
8.855784167E-1,2.467316575E-3,1.296827383E-2,-5.336100701E-3
8.956294167E-1,1.150715072E-2,1.194704557E-3,-6.350232288E-3
9.056804167E-1,2.533724532E-2,-2.077540848E-4,-1.232512761E-3
9.157304167E-1,3.100498393E-2,-1.034773979E-2,-1.813081908E-3
9.257814167E-1,2.790039591E-2,-2.971307142E-3,9.827895556E-4
9.358324167E-1,8.999675512E-3,5.437890533E-3,4.197757691E-3
9.458834167E-1,-2.707313746E-3,1.289607212E-2,5.843058228E-3
9.559344167E-1,-8.831785060E-3,6.971604656E-3,4.043027759E-3
9.659850000E-1,-5.523806438E-3,1.285703480E-2,1.480575884E-3
9.760360000E-1,-2.686474472E-3,1.412363537E-2,-3.734159516E-3
9.860870000E-1,-1.549164765E-3,9.447913617E-3,-1.554449322E-3
9.961380000E-1,4.522576462E-3,-3.233527299E-3,-1.044720411E-3
1.006188000E0,1.517816633E-2,-1.443586778E-2,-1.005477738E-3
1.016239000E0,1.784452237E-2,-7.226157933E-3,-1.085639000E-3
1.026290000E0,1.126681454E-3,6.914908066E-3,3.926248755E-4
1.036341000E0,-2.286158968E-3,1.930536004E-3,1.119277440E-4
1.046392000E0,-3.391441423E-3,-9.071845561E-4,4.507667385E-3
1.056442000E0,-5.962190684E-3,3.495612182E-4,5.430718884E-3
1.066493000E0,-7.913488895E-3,9.986465797E-3,1.119030872E-3
1.076544000E0,-1.399268676E-2,1.368000358E-2,2.836503787E-3
1.086595000E0,-4.726510029E-3,9.820889682E-3,4.109135363E-3
1.096646000E0,3.847004380E-3,2.699596342E-3,1.643580850E-3
1.106696000E0,1.175181195E-2,1.541296393E-2,-2.679733559E-3
1.116747000E0,1.149481721E-2,1.626730710E-2,-2.046966460E-3
1.126798000E0,1.599940471E-2,7.962292060E-3,-1.491638366E-3
1.136849000E0,1.900451444E-2,-5.694132298E-3,1.949698431E-3
1.146899000E0,1.348135248E-2,-9.800688364E-3,-3.208235139E-3
1.156950000E0,2.384492662E-3,1.481943764E-2,-4.774972796E-3
1.167001000E0,-2.478716429E-3,2.652274072E-2,-1.035858504E-2
1.177052000E0,1.549314708E-3,2.044807188E-2,-9.145781398E-3
1.187103000E0,-3.298413940E-4,-1.578617725E-3,-7.602103520E-3
1.197153000E0,-4.126976710E-3,-1.607819833E-2,-5.124564748E-3
1.207204000E0,-1.421504654E-2,-4.166613799E-4,-5.455689039E-3
1.217255000E0,-2.081409283E-2,2.689383458E-3,-3.080415772E-3
1.227306000E0,-1.016607136E-2,5.487772636E-3,-5.624731071E-3
1.237357000E0,-6.927934941E-3,7.185838185E-4,1.286971150E-3
1.247407000E0,4.931611009E-3,-6.782393903E-3,5.771783181E-3
1.257458000E0,1.358608529E-2,-2.137784846E-2,1.055215765E-2
1.267509000E0,1.589009911E-2,-2.451660857E-2,9.961492382E-3
1.277560000E0,1.816576906E-2,-8.288903162E-3,9.640315548E-3
1.287610000E0,1.796879992E-2,1.536648488E-3,1.149227656E-2
1.297661000E0,1.982209273E-2,1.224792330E-3,1.922716200E-2
1.307712000E0,1.808865368E-2,-4.540983588E-3,1.636991650E-2
1.317763000E0,1.637757383E-2,-5.948463921E-3,9.723199531E-3
1.327814000E0,1.559434924E-3,-2.120354678E-3,-2.045261208E-3
1.337864000E0,-7.951512933E-3,9.998626076E-3,-6.494071800E-3
1.347915000E0,-1.245269179E-2,2.121139318E-2,-1.271688472E-2
1.357966000E0,3.059799783E-4,1.938845776E-2,-2.603796311E-3
1.368017000E0,1.826101169E-2,5.121105351E-3,1.031519752E-2
1.378067000E0,3.585332260E-2,-1.245176233E-2,1.880109496E-2
1.388118000E0,4.151790962E-2,-3.250464797E-2,2.090014890E-2
1.398169000E0,3.213505819E-2,-4.762847349E-2,9.375585243E-3
1.408220000E0,1.150653511E-2,-3.230715543E-2,-1.236300450E-3
1.418271000E0,-1.738530025E-2,-6.696599536E-3,-1.022739802E-2
1.428321000E0,-3.730683774E-2,1.910789497E-2,-1.382918004E-2
1.438372000E0,-3.709351644E-2,3.299655020E-2,-1.204539463E-2
1.448423000E0,-2.962293103E-2,2.636869624E-2,-9.337516502E-3
1.458474000E0,-1.105004363E-2,1.357966568E-2,-5.798707716E-3
1.468525000E0,1.023601368E-2,-1.156152692E-2,-4.835721105E-3
1.478575000E0,2.688982524E-2,-3.533476591E-2,-5.372880958E-3
1.488626000E0,2.176805958E-2,-4.166436195E-2,-7.178115658E-3
1.498677000E0,3.663357580E-3,-1.593103819E-2,-5.444664508E-3
1.508728000E0,-1.047466416E-2,5.699083675E-3,-4.324768204E-3
1.518778000E0,-1.638235524E-2,2.601926960E-2,-5.254477728E-3
1.528829000E0,-1.019515749E-2,3.221137449E-2,-2.804721706E-3
1.538880000E0,-6.989776157E-3,1.574558392E-2,-5.732588470E-4
1.548931000E0,6.362329703E-3,-5.995041225E-3,5.038583186E-4
1.558982000E0,1.589671150E-2,-1.489372738E-2,6.111839321E-4
1.569032000E0,1.227091067E-2,-1.197478641E-2,-2.122347243E-3
1.579083000E0,1.611731574E-2,-6.861793809E-4,2.092504874E-4
1.589134000E0,1.270713098E-2,6.657207385E-3,6.270641461E-4
1.599185000E0,4.894481506E-3,1.107113063E-2,3.765333444E-3
1.609235000E0,3.511154093E-3,1.213896740E-2,5.651250482E-3
1.619286000E0,2.915138612E-3,1.227612048E-2,-9.557860903E-4
1.629337000E0,3.037867136E-3,1.108550280E-2,-7.195790298E-3
1.639388000E0,8.090149611E-3,8.601838723E-3,-9.538573213E-3
1.649439000E0,1.062376983E-2,3.576146672E-3,-8.068532683E-3
1.659489000E0,1.720071211E-2,-2.663373249E-3,2.160402713E-3
1.669540000E0,1.929985918E-2,-4.370541312E-3,5.003811792E-3
