"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.768472500E-1,3.753899813E0,-6.630603790E0,-5.853778362E0
8.868312500E-1,3.357006073E0,-6.647543430E0,-5.693145275E0
8.968142500E-1,2.813750744E0,-6.356587887E0,-5.250311375E0
9.067982500E-1,2.192558289E0,-5.655847073E0,-4.549780369E0
9.167812500E-1,1.548273802E0,-4.633921146E0,-3.591912746E0
9.267652500E-1,8.920639753E-1,-3.629634380E0,-2.424070358E0
9.367492500E-1,4.447947443E-1,-2.694119215E0,-1.046280265E0
9.467322500E-1,2.110048831E-1,-1.912122250E0,4.279623926E-1
9.567162500E-1,9.737388045E-2,-1.222382784E0,1.824613571E0
9.667002500E-1,-1.022581477E-2,-7.686618567E-1,3.015260696E0
9.766832500E-1,-1.356282830E-1,-4.872439504E-1,4.025248528E0
9.866672500E-1,-2.348230481E-1,-1.373796761E-1,4.869025230E0
9.966512500E-1,-3.904660344E-1,2.178961486E-1,5.576451302E0
1.006634250E0,-6.436205506E-1,5.842381716E-1,6.211621761E0
1.016618250E0,-9.756764770E-1,9.986436367E-1,6.825203896E0
1.026602250E0,-1.358347416E0,1.466804981E0,7.426156998E0
1.036585250E0,-1.799637318E0,1.983561993E0,8.039793015E0
1.046569250E0,-2.390885353E0,2.480805159E0,8.604792595E0
1.056552250E0,-3.133244038E0,2.885132074E0,9.095213890E0
1.066536250E0,-4.027385235E0,2.905419827E0,9.436017990E0
1.076520250E0,-4.810386658E0,2.506067514E0,9.436146736E0
1.086503250E0,-5.221598148E0,1.791003942E0,8.677598000E0
1.096487250E0,-5.076878071E0,4.258954525E-1,7.320137501E0
1.106471250E0,-4.381440639E0,-1.733123660E0,5.512393475E0
1.116454250E0,-3.118556499E0,-3.657137156E0,3.409934521E0
1.126438250E0,-1.763979316E0,-4.349371910E0,1.169741511E0
1.136422250E0,-6.589764953E-1,-3.875278711E0,-1.223682523E0
1.146405250E0,4.364770651E-2,-2.875745296E0,-2.879545450E0
1.156389250E0,3.691013157E-1,-2.204652548E0,-3.366000652E0
1.166372250E0,5.844295621E-1,-1.837420940E0,-3.169641972E0
1.176356250E0,7.585130334E-1,-1.298799634E0,-2.823441267E0
1.186340250E0,7.936601043E-1,-4.992654026E-1,-2.579553604E0
1.196323250E0,7.179095149E-1,4.121648073E-1,-2.533768415E0
1.206307250E0,7.181448936E-1,1.350994825E0,-2.698910713E0
1.216291250E0,8.911539912E-1,2.169862986E0,-3.055111885E0
1.226274250E0,1.213022828E0,2.621043205E0,-3.558958054E0
1.236258250E0,1.688214898E0,2.703029633E0,-4.199262619E0
1.246242250E0,2.263516665E0,2.370295286E0,-4.879797935E0
1.256225250E0,2.959258080E0,1.982185602E0,-5.564025402E0
1.266209250E0,3.657557249E0,1.680504799E0,-6.300719738E0
1.276193250E0,4.274730682E0,1.640448093E0,-7.025011063E0
1.286176250E0,4.765899181E0,1.720754147E0,-7.789659500E0
1.296160250E0,5.041680336E0,1.842141390E0,-8.716548920E0
1.306143250E0,5.041073322E0,1.799632549E0,-9.810989380E0
1.316127250E0,5.086762905E0,1.063109994E0,-1.090421200E1
1.326111250E0,5.080904961E0,-1.268917918E0,-1.149226379E1
1.336094250E0,4.762014389E0,-3.409559727E0,-1.145320797E1
1.346078250E0,4.081817627E0,-4.795605659E0,-1.076055336E1
1.356062250E0,3.219608545E0,-5.533594131E0,-9.295473099E0
1.366045250E0,2.087644577E0,-4.850972652E0,-7.215949059E0
1.376029250E0,6.113967299E-1,-2.877410650E0,-4.758832455E0
1.386013250E0,-8.557850718E-1,-4.852466583E-1,-2.192116261E0
1.395996250E0,-1.699050307E0,1.236245275E0,1.458016783E-1
1.405980250E0,-1.709367394E0,1.630708456E0,1.826521993E0
1.415964250E0,-1.070129514E0,8.771408200E-1,2.783362627E0
1.425947250E0,-1.943977475E-1,-3.896444440E-1,3.261562109E0
1.435931250E0,4.919711351E-1,-1.435127378E0,3.485008478E0
1.445914250E0,8.742572069E-1,-2.134445906E0,3.676794529E0
1.455898250E0,1.094275594E0,-2.580861330E0,4.024326801E0
1.465882250E0,1.180516481E0,-2.795302153E0,4.600351334E0
1.475865250E0,1.103564739E0,-2.702417374E0,5.376602173E0
1.485849250E0,8.933719397E-1,-2.244155645E0,6.332016945E0
1.495833250E0,5.608167648E-1,-1.423422933E0,7.395756721E0
1.505816250E0,4.083088040E-2,-2.637142241E-1,8.535742760E0
1.515800250E0,-7.186512351E-1,1.114712238E0,9.607120514E0
1.525784250E0,-1.644978523E0,2.580043077E0,1.059680939E1
