"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.145637500E-2,2.892544866E-1,-1.132111430E0,2.369243503E-1
2.143937500E-2,2.656167746E-1,-1.206621528E0,1.784095168E-1
3.142237500E-2,1.158704087E-1,-1.169011116E0,1.006982103E-1
4.140637500E-2,-6.387611479E-2,-9.465772510E-1,-8.189586923E-3
5.138937500E-2,-2.218660116E-1,-5.527362227E-1,-1.373483688E-1
6.137337500E-2,-3.015815020E-1,-5.089163184E-1,-2.694287896E-1
7.135637500E-2,-4.798652232E-1,-3.388902545E-1,-3.532275259E-1
8.133937500E-2,-6.881794333E-1,-1.663070470E-1,-3.983536065E-1
9.132337500E-2,-7.608101964E-1,1.068233028E-1,-4.871498048E-1
1.013063750E-1,-7.303059101E-1,2.149717361E-1,-4.852720499E-1
1.112903750E-1,-5.109540820E-1,2.236070484E-1,-3.229555786E-1
1.212733750E-1,-1.212051362E-1,1.457106024E-1,-5.867499486E-2
1.312563750E-1,3.627330363E-1,1.081722826E-1,2.220365554E-1
1.412403750E-1,7.843722701E-1,2.487264574E-1,4.467992187E-1
1.512233750E-1,1.062285304E0,4.268149734E-1,6.421533227E-1
1.612073750E-1,1.210871100E0,6.150668263E-1,7.482944131E-1
1.711903750E-1,1.315662980E0,6.991489530E-1,8.504133224E-1
1.811743750E-1,1.383089900E0,7.633716464E-1,9.621704221E-1
1.911573750E-1,1.441541433E0,8.758710027E-1,1.036019564E0
2.011403750E-1,1.496235013E0,9.462146163E-1,1.058131337E0
2.111243750E-1,1.532505631E0,9.305475354E-1,9.983101487E-1
2.211073750E-1,1.532505989E0,8.954894543E-1,8.425680399E-1
2.310913750E-1,1.500924587E0,8.586782217E-1,5.946725011E-1
2.410743750E-1,1.214385986E0,5.473863482E-1,3.202545345E-1
2.510573750E-1,3.781743050E-1,2.978127599E-1,6.834506989E-2
2.610413750E-1,2.504900843E-2,4.244290292E-1,-2.578921802E-2
2.710243750E-1,-1.009198353E-1,1.933580190E-1,3.617801517E-2
2.810083750E-1,-1.526511014E-1,6.616966426E-2,1.314557195E-1
2.909913750E-1,-1.254964471E-1,2.960164249E-1,1.807396412E-1
3.009743750E-1,-8.876729757E-2,3.158314526E-1,2.451754361E-1
3.109583750E-1,-5.948664621E-2,2.892520428E-1,3.694151044E-1
3.209413750E-1,-1.327254474E-1,1.747140139E-1,4.166528881E-1
3.309253750E-1,-2.826212049E-1,1.242511198E-1,3.398606479E-1
3.409083750E-1,-3.734114170E-1,7.179594785E-2,1.891742498E-1
3.508913750E-1,-3.179220557E-1,-6.734463573E-2,-5.905099586E-2
3.608753750E-1,-4.139412567E-2,-1.959674954E-1,-2.942309678E-1
3.708583750E-1,7.643905282E-1,1.019125804E-2,-6.690424085E-1
3.808423750E-1,1.770417094E0,-5.301531777E-2,-8.667650819E-1
3.908253750E-1,2.261665583E0,-4.239289463E-1,-6.435703635E-1
4.008083750E-1,2.286906958E0,-2.434387058E-1,-4.783331752E-1
4.107923750E-1,1.956192732E0,6.724966317E-2,-3.368921578E-1
4.207753750E-1,1.555181980E0,4.163722396E-1,-2.913174927E-1
4.307593750E-1,1.621328235E0,-1.585499197E-1,-1.440803856E-1
4.407423750E-1,1.477816820E0,-4.379430413E-1,-2.512064576E-1
4.507253750E-1,1.090601683E0,-6.559345126E-1,-6.000075340E-1
4.607093750E-1,6.111275554E-1,-4.252567291E-1,-8.227134347E-1
4.706923750E-1,2.220594138E-1,-1.393917054E-1,-8.537568450E-1
4.806763750E-1,-5.952797085E-2,-5.141586810E-2,-7.704312801E-1
4.906593750E-1,-1.669066250E-1,-4.623868316E-2,-4.590617120E-1
5.006423750E-1,-1.779682189E-1,9.918816388E-3,-4.183124751E-2
5.106263750E-1,-1.725561470E-1,-1.460623369E-2,3.062273860E-1
5.206093750E-1,-1.501536220E-1,-8.509446681E-2,5.281035304E-1
5.305933750E-1,-1.538575441E-1,-1.903487146E-1,6.386247277E-1
5.405763750E-1,-1.775468439E-1,-2.480414957E-1,6.575146317E-1
