"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.102228333E-1,-1.516921997E0,2.310207844E0,1.070281410E1
9.202058333E-1,-2.162000656E0,1.217277169E0,9.756408691E0
9.301898333E-1,-3.001560926E0,-2.220695764E-1,7.822992802E0
9.401738333E-1,-3.454251766E0,-1.605355620E0,5.813943386E0
9.501578333E-1,-3.275648594E0,-1.970275283E0,4.061514854E0
9.601418333E-1,-2.632098198E0,-1.361125350E0,2.652337313E0
9.701248333E-1,-1.721577764E0,-4.111734778E-2,1.463003278E0
9.801088333E-1,-6.720213890E-1,1.179167271E0,4.902877212E-1
9.900928333E-1,3.073537052E-1,1.745558262E0,-3.199691772E-1
1.000076833E0,1.055228710E0,1.756379366E0,-1.157444119E0
1.010059833E0,1.522060037E0,1.479626775E0,-2.066831827E0
1.020043833E0,1.760205269E0,1.015273690E0,-2.988055229E0
1.030027833E0,1.862161160E0,5.023315549E-1,-3.846548319E0
1.040011833E0,1.877596974E0,1.426847093E-2,-4.533321381E0
1.049994833E0,1.887329817E0,-3.380211294E-1,-5.011633396E0
1.059978833E0,1.961587071E0,-4.543986320E-1,-5.295221806E0
1.069962833E0,2.057741642E0,-3.694256842E-1,-5.412589550E0
1.079946833E0,2.124660254E0,-1.267572939E-1,-5.392443657E0
1.089930833E0,2.168541670E0,2.118167579E-1,-5.305488586E0
1.099913833E0,2.228174686E0,6.065100431E-1,-5.235915661E0
1.109897833E0,2.261451006E0,9.508538246E-1,-5.226302147E0
1.119881833E0,2.225587130E0,1.191664219E0,-5.259829044E0
1.129865833E0,2.115746737E0,1.293650746E0,-5.270283699E0
1.139849833E0,1.944313288E0,1.264890552E0,-5.263902664E0
1.149832833E0,1.782827020E0,1.108570457E0,-5.255745411E0
1.159816833E0,1.611972451E0,7.371079922E-1,-5.191756725E0
1.169800833E0,1.444332242E0,2.266681790E-1,-5.056357384E0
1.179784833E0,1.226636291E0,-2.784386873E-1,-4.825013161E0
1.189767833E0,9.782587290E-1,-6.370424032E-1,-4.608210564E0
1.199751833E0,8.237777948E-1,-1.103622675E0,-4.426023960E0
1.209735833E0,8.318905830E-1,-1.556727648E0,-4.250519753E0
1.219719833E0,8.703379035E-1,-1.908452988E0,-4.098752975E0
1.229703833E0,8.430019021E-1,-2.369471550E0,-3.893874645E0
1.239686833E0,7.390540838E-1,-2.926321983E0,-3.660421133E0
1.249670833E0,6.520909667E-1,-3.395354509E0,-3.419924736E0
1.259654833E0,6.078675985E-1,-3.747169495E0,-3.130330324E0
1.269638833E0,5.621275306E-1,-3.905015707E0,-2.766950846E0
1.279621833E0,4.562129676E-1,-3.774103165E0,-2.277591228E0
1.289605833E0,2.880031765E-1,-3.300837278E0,-1.637381673E0
1.299589833E0,8.747417480E-2,-2.495019436E0,-8.474543691E-1
1.309573833E0,-1.185330525E-1,-1.571647167E0,3.661788628E-2
1.319557833E0,-3.360714316E-1,-7.385773063E-1,9.290890098E-1
1.329540833E0,-4.822158515E-1,-1.209886372E-1,1.763218522E0
1.339524833E0,-4.801166952E-1,3.429725170E-1,2.555102348E0
1.349508833E0,-3.178739846E-1,3.991468251E-1,3.409744024E0
1.359492833E0,-2.560337819E-2,8.115500957E-2,4.284556866E0
1.369475833E0,3.069761992E-1,-2.852605283E-1,5.062181473E0
1.379459833E0,5.601753592E-1,-5.900675058E-1,5.728035450E0
1.389443833E0,7.485545874E-1,-5.040809512E-1,6.333871365E0
1.399427833E0,9.102352858E-1,-1.626082929E-3,7.010320187E0
1.409411833E0,1.052111745E0,8.198398352E-1,7.760807514E0
1.419394833E0,1.086997390E0,1.919266701E0,8.562127113E0
1.429378833E0,9.540801048E-1,3.178389072E0,9.395631790E0
1.439362833E0,5.426300764E-1,4.227377892E0,1.007956314E1
1.449346833E0,-4.655058384E-1,4.310484409E0,1.025909996E1
1.459329833E0,-2.016098261E0,3.046275377E0,9.775102615E0
1.469313833E0,-3.546279192E0,8.312116861E-1,8.822195053E0
1.479297833E0,-4.184622765E0,-1.479952931E0,7.888053894E0
1.489281833E0,-3.822292089E0,-3.112030983E0,7.011498928E0
1.499264833E0,-3.033295631E0,-3.174508095E0,6.047191620E0
