"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.699360000E-1,4.742154598E0,-5.349423885E-1,2.744496346E0
8.799190000E-1,3.479402065E0,-9.879443645E-1,2.253372431E0
8.899030000E-1,2.893795729E0,-1.031023383E0,1.767267942E0
8.998870000E-1,2.810109138E0,-9.652576447E-1,1.215276361E0
9.098700000E-1,2.749597788E0,-8.643773794E-1,5.464783311E-1
9.198540000E-1,2.263654947E0,-7.352549434E-1,-1.273038685E-1
9.298370000E-1,1.278127313E0,-4.412507713E-1,-5.885942578E-1
9.398210000E-1,1.486404687E-1,-1.544806063E-1,-7.970595360E-1
9.498050000E-1,-7.951782346E-1,1.044681296E-1,-8.129868507E-1
9.597880000E-1,-1.408762336E0,1.881656498E-1,-7.670845985E-1
9.697720000E-1,-1.755299807E0,1.124788895E-1,-7.492513061E-1
9.797550000E-1,-1.952571154E0,5.438487977E-2,-8.033574820E-1
9.897390000E-1,-2.014968157E0,8.277098089E-2,-8.677982092E-1
9.997230000E-1,-1.950944543E0,2.485135198E-1,-8.628394008E-1
1.009706000E0,-1.790189981E0,5.000480413E-1,-7.532418370E-1
1.019690000E0,-1.620279670E0,7.450240254E-1,-5.793033838E-1
1.029674000E0,-1.478386641E0,8.860740662E-1,-3.875576854E-1
1.039657000E0,-1.341275930E0,9.133127332E-1,-2.507203519E-1
1.049641000E0,-1.194634557E0,8.721343875E-1,-1.971460581E-1
1.059624000E0,-1.062838912E0,7.796816230E-1,-2.150064409E-1
1.069608000E0,-9.822242856E-1,7.287915945E-1,-2.640030086E-1
1.079592000E0,-9.613479972E-1,7.600296140E-1,-3.014291823E-1
1.089575000E0,-9.860038161E-1,8.202173114E-1,-2.712302506E-1
1.099559000E0,-1.046674848E0,9.456111193E-1,-1.614495516E-1
1.109542000E0,-1.148442984E0,1.039717913E0,-6.181672215E-3
1.119526000E0,-1.283760428E0,1.123313189E0,1.006488577E-1
1.129510000E0,-1.448905706E0,1.303961277E0,1.559304893E-1
1.139493000E0,-1.604019642E0,1.563906074E0,1.458155513E-1
1.149477000E0,-1.673735857E0,1.896143198E0,3.454601765E-2
1.159460000E0,-1.666621447E0,2.182576656E0,-1.142055541E-1
1.169444000E0,-1.629708171E0,2.298463583E0,-2.521786094E-1
1.179428000E0,-1.617945313E0,2.281184435E0,-3.211402297E-1
1.189411000E0,-1.642020822E0,2.192295790E0,-2.965004146E-1
1.199395000E0,-1.652984023E0,2.008772850E0,-2.308314294E-1
1.209379000E0,-1.695593834E0,1.805767417E0,-1.789397299E-1
1.219362000E0,-1.800989509E0,1.805786371E0,-7.047506422E-2
1.229346000E0,-1.926139116E0,1.996403217E0,1.030804813E-1
1.239329000E0,-2.028109550E0,2.320663452E0,2.734951377E-1
1.249313000E0,-2.091849089E0,2.608798981E0,4.376076460E-1
1.259297000E0,-2.106136322E0,2.774809599E0,5.389632583E-1
1.269280000E0,-2.068701506E0,2.914292812E0,5.989009142E-1
1.279264000E0,-1.973937035E0,2.998181581E0,6.478303671E-1
1.289247000E0,-1.828811049E0,2.943232536E0,7.166368365E-1
1.299231000E0,-1.660076022E0,2.649121284E0,7.877867222E-1
1.309215000E0,-1.492106199E0,1.958655119E0,7.907356620E-1
1.319198000E0,-1.255637050E0,9.602736831E-1,7.329288721E-1
