time,X (µT),Y (µT),Z (µT),label
0.01134495834,-3.425578777576923,-43.43212186461539,-21.493682861538463,waving_righthand
0.26134495834,-4.4032919312,-43.42087646519999,-21.533115234799997,waving_righthand
0.51134495834,-1.7693572998791998,-44.0034106448,-20.9915771488,waving_righthand
0.76134495834,-6.990735167736,-46.7624133296,-9.972828369112,waving_righthand
1.01134495834,-6.25768463132,-48.210983886,-11.689508056920001,waving_righthand
1.26134495834,-2.7214132689960002,-41.9547509764,-25.318203125200004,waving_righthand
1.51134495834,-6.117062988399999,-43.181115722799994,-23.518873290800002,waving_righthand
1.76134495834,-3.8607528686799997,-41.926584472799995,-25.908570556,waving_righthand
2.01134495834,-12.25411407392,-49.8969982916,-0.35159790066800006,waving_righthand
2.26134495834,-9.54069335904,-49.165351563200005,-8.04708129912,waving_righthand
2.51134495834,-6.822589416479999,-44.21003295920001,-22.211297608000006,waving_righthand
2.76134495834,-5.02286132808,-41.522967529199995,-27.0762145984,waving_righthand
3.01134495834,-2.5955950927199996,-42.1518286132,-26.322067871199998,waving_righthand
3.26134495834,-8.28385681144,-49.66116210999999,-6.879114990240001,waving_righthand
3.51134495834,-7.46761657708,-49.2120129396,-9.7811450198,waving_righthand
3.76134495834,-7.37837341316,-44.07559448280001,-21.703112792000002,waving_righthand
4.01134495834,-8.27118927,-41.254445800000006,-26.159073485999997,waving_righthand
4.26134495834,-7.356429748480001,-42.95485961960001,-24.5501428228,waving_righthand
4.51134495834,-8.88660613988,-49.9259570324,-4.7862634279088,waving_righthand
4.76134495834,-10.12886993332,-50.63178588760001,-2.17887817396,waving_righthand
5.01134495834,-6.51123474108,-43.943843993600005,-22.22355957028,waving_righthand
5.26134495834,-5.885067443879999,-39.648848877999995,-29.2834606932,waving_righthand
5.51134495834,-5.778435363719999,-40.9646813956,-28.3064111332,waving_righthand
5.76134495834,-9.619197998439999,-48.373885498,-10.815572508908001,waving_righthand
6.01134495834,-10.398775541,-50.35586899961539,-3.7190399168769237,waving_righthand
6.26134495834,-8.270143432640001,-47.747934570000005,-14.33230468708,waving_righthand
6.51134495834,-6.56512451168,-44.3829675292,-22.729499512399997,waving_righthand
6.76134495834,-9.458179931799998,-45.110660400799986,-20.086656494400003,waving_righthand
7.01134495834,-10.013648987040002,-47.73483520479999,-12.00930175816,waving_righthand
7.26134495834,-12.8612048348,-48.1790148932,13.027180175000002,waving_righthand
7.51134495834,-9.252479553359999,-50.394613036799996,7.629146728439999,waving_righthand
7.76134495834,-11.911943970800001,-49.0936071776,-8.14625244092,waving_righthand
8.01134495834,-13.8097738656,-48.1880541988,-8.760721435959999,waving_righthand
8.26134495834,-10.686228942640003,-49.811898192,-5.82824340828,waving_righthand
8.51134495834,-8.751806335680001,-49.2822949208,12.142727050563998,waving_righthand
8.76134495834,-11.891224975999998,-48.8305981444,11.97372680676,waving_righthand
9.01134495834,-15.9158639532,-48.33090698280001,-4.593873291156,waving_righthand
9.26134495834,-14.6883239764,-47.5966296388,-7.98555786148,waving_righthand
9.51134495834,-11.54229034328,-49.5622985844,-1.0588122558532,waving_righthand
9.76134495834,-1.1520971679320002,-49.636500244400004,10.986149901864001,waving_righthand
10.01134495834,-0.2742047119004,-47.6764965812,18.9953308092,waving_righthand
10.26134495834,2.6124075317999997,-49.1598876952,13.348972168159998,waving_righthand
10.51134495834,3.3127905273599993,-50.204459229200005,2.6064245605556,waving_righthand
