"Time (s)","X (hPa)"
-5.416035417E-1,1.008250504E3
4.896174583E-1,1.008249664E3
1.520820458E0,1.008248901E3
2.552048458E0,1.008244019E3
3.583244458E0,1.008239746E3
3.777652458E0,1.008235092E3
4.842108458E0,1.008233566E3
5.906565458E0,1.008233566E3
6.971050458E0,1.008232880E3
8.035481458E0,1.008230057E3
9.099881458E0,1.008226852E3
1.016432246E1,1.008224792E3
1.122881146E1,1.008221130E3
1.229331546E1,1.008218002E3
1.335783246E1,1.008217392E3
1.442233046E1,1.008216934E3
1.548681046E1,1.008216782E3
1.655128446E1,1.008214417E3
1.761575446E1,1.008212967E3
1.868021846E1,1.008211060E3
1.974469246E1,1.008210831E3
2.080920946E1,1.008208313E3
2.187367046E1,1.008208313E3
2.293812546E1,1.008210373E3
2.400260146E1,1.008212585E3
2.506707746E1,1.008216705E3
2.613151546E1,1.008216934E3
2.719595746E1,1.008216705E3
2.826039546E1,1.008216782E3
2.932482446E1,1.008214874E3
3.038922846E1,1.008214569E3
3.145370746E1,1.008213425E3
3.251812546E1,1.008211899E3
3.358256746E1,1.008211746E3
3.464703046E1,1.008211899E3
3.571150646E1,1.008212738E3
3.677594946E1,1.008213196E3
3.784043546E1,1.008220978E3
3.890483946E1,1.008223648E3
3.996926646E1,1.008224106E3
4.103366646E1,1.008224106E3
4.209806546E1,1.008222656E3
4.316246446E1,1.008199921E3
4.422689746E1,1.008198395E3
4.529133646E1,1.008197784E3
4.635579546E1,1.008195267E3
4.742026046E1,1.008195267E3
4.848474846E1,1.008212280E3
4.954928546E1,1.008214035E3
5.061375446E1,1.008216476E3
5.167824846E1,1.008216782E3
5.274268546E1,1.008220062E3
5.380714946E1,1.008220062E3
5.487159346E1,1.008218613E3
5.593605646E1,1.008216476E3
5.700053346E1,1.008211441E3
