"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717521638054646E9,"2024-06-04 19:20:38.055 UTC+02:00"
"PAUSE",6.000731574999372E1,1.717521698062513E9,"2024-06-04 19:21:38.063 UTC+02:00"
