"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717521455900667E9,"2024-06-04 19:17:35.901 UTC+02:00"
"PAUSE",6.000703800000338E1,1.717521515908257E9,"2024-06-04 19:18:35.908 UTC+02:00"
