time,X (rad/s),Y (rad/s),Z (rad/s),label
0,0.5173076754565148,-1.3581603127407724,-1.0241468097063962,waving_righthand
1,-0.04658280522522,-0.4527440777561001,1.0697194445162,waving_righthand
2,0.5989594961126999,-0.0678752166106199,-1.4462999593642,waving_righthand
3,0.1870888044234799,-0.4970234111985,1.2427465415372,waving_righthand
4,0.3994855742654,0.064897780661007,-1.0679599568668,waving_righthand
5,0.2089678228061386,0.1546455756248514,0.2724078091026731,waving_righthand
6,0.0154277607949,-0.3171054842229901,0.4944731297441999,waving_righthand
7,0.08636023574539,-0.0489356408177999,-0.0157049967008,waving_righthand
8,0.2301741935527,0.21322618661529,-0.5799274221675,waving_righthand
9,0.1479338626351,0.0564871881767,0.05948178678991,waving_righthand
10,0.0466557551117,-0.3992082601987999,0.8591536043636,waving_righthand
11,0.3349220227101286,0.114498176523396,-1.0338137071485147,waving_righthand
12,-0.210816614420355,-0.2610698803463,1.243285569399,waving_righthand
13,0.6319552043944899,0.0795785977463,-1.1152406448432,waving_righthand
14,0.4224603697879999,0.3703310631181001,0.5628776723504001,waving_righthand
15,0.33649835203082,-0.3598928563388001,-0.06101837569608,waving_righthand
16,0.4056144725027,0.0845157215782,-0.2855458391218,waving_righthand
17,-0.1636435127479208,-0.2763022479479307,1.0743966836101984,waving_righthand
18,0.5143293055249,0.1717643546032,-0.985685838446,waving_righthand
19,0.34133052683996,-0.081771806384,0.6744344203690001,waving_righthand
20,0.0787427578282799,-0.2492436561624,0.3622269162791001,waving_righthand
21,0.21171289854945,-0.11648121854542,-0.9032591895858,waving_righthand
22,0.3190544396808999,0.3008655826174,-0.15529124983,waving_righthand
23,0.1269034502484158,-0.0835012165512475,0.9482837679100988,waving_righthand
24,0.2644363093113,-0.12142621422032,0.2300114538193,waving_righthand
25,0.3974598158758999,-0.1826653267440999,-1.0963278942290002,waving_righthand
26,0.044330736352277,-0.06884413162018,0.6908812171840002,waving_righthand
27,0.1726906922275,0.0538367419563,0.4932711822878,waving_righthand
28,0.4572027756662,-0.1557388240431999,-0.4730069629789999,waving_righthand
29,0.1603036956062376,0.2172726136387128,-0.594422413420792,waving_righthand
30,0.2440604137622599,-0.1161970647431,1.0456814499036995,waving_righthand
31,0.0814980717753479,-0.08209363846697,0.1419667271449999,waving_righthand
32,0.28837409425154,-0.040661271465,-0.4266218531779999,waving_righthand
33,0.3264206310752001,-0.205621462409,-0.6836597221120999,waving_righthand
34,0.0649193181272,-0.1827645772308769,1.1471614944124002,waving_righthand
35,0.36075396184599,-0.0744488563946534,0.0418865916198584,waving_righthand
36,0.2753969797147599,-0.17083475874786,-0.995941585527,waving_righthand
37,0.6813925336694798,0.0662914306334299,0.472877934879,waving_righthand
38,0.11244288697697,0.033054537549003,0.082812370916,waving_righthand
39,0.4460848074438299,-0.0786830802964,0.0610342893089999,waving_righthand
40,-0.139355823373,1.2740019791954753,-0.3025797757554,waving_righthand
41,0.671635813168515,0.2478805384992078,0.063254547052099,waving_righthand
42,-0.0431257483033,-0.9464692296655,0.3473290800365999,waving_righthand
43,0.50308810521207,0.2246670727564,0.1620062951071,waving_righthand
44,0.552958377292,-0.7724104822475,-0.2246039232109998,waving_righthand
45,0.304040311662014,-0.0965006337734,-0.4306089673849999,waving_righthand
46,0.0714994493306999,0.2390404638279,0.5252635329069999,waving_righthand
47,0.4790598608594058,-0.5823592715698713,0.5037859776663366,waving_righthand
48,0.1427102562371,0.0808118123481,-1.0317473058322,waving_righthand
49,-0.37479965968576,-0.15544167277186,1.2601159453407005,waving_righthand
50,0.7717200365326801,-0.01612455023912,-1.3243617270939,waving_righthand
51,-0.0091194821271499,-0.271978520427,1.0789023176652,waving_righthand
52,0.2762074497216,-0.3315963884301,-0.3208974017820999,waving_righthand
53,0.3906953043554456,-0.2253890175572277,0.2334644028297029,waving_righthand
54,0.0371900053088999,-0.1894827031238799,0.4620580270849999,waving_righthand
55,0.7253136693459998,0.11322003741286,-0.5313285220431,waving_righthand
56,0.5764814556877002,-0.7989706706454003,1.2431737944961,waving_righthand
57,1.187399550338548,-0.0361084823575,-1.5092943793045002,waving_righthand
58,0.5308084843538,-0.2638180336194001,1.6031511992299,waving_righthand
59,0.5549886746534654,-0.5356510245611882,0.443416348979802,waving_righthand
60,-2.813387394,2.410328388,8.012441635,waving_righthand
61,0.4508916092060792,-1.2992752377313863,-0.913037820254178,waving_righthand
62,0.4636694340380999,-0.1328577452849999,0.0357871423239998,waving_righthand
63,0.7151901442273001,0.1962218280256,0.0332740813419999,waving_righthand
64,0.3494946854478,0.2650220715420001,-0.1066885890189999,waving_righthand
65,0.4562192039382,0.2959409991820999,-0.1849368696101999,waving_righthand
66,0.3752759074179,-0.22527538962185,0.168905196752,waving_righthand
67,0.5929592202710495,0.0960953228089109,-0.0023694040127722,waving_righthand
68,0.4954381728046,0.0168042604584999,-0.054661797698,waving_righthand
69,0.6779184827306101,0.1046623890027999,0.097930475436,waving_righthand
70,0.7517007567007999,0.0137382805156,0.3565077367012001,waving_righthand
71,0.5218141488349299,0.0513868066312999,0.1824402934460001,waving_righthand
72,0.6034596489557,0.4564972529109,0.6446284768276999,waving_righthand
73,0.3288515707993069,-0.0509412936890287,0.5950095825727723,waving_righthand
74,0.4030944140334,-0.18355548895008,0.5123325269250001,waving_righthand
75,0.5290449345003999,-0.2151996587584999,0.596941064145,waving_righthand
76,1.05883121763257,-0.3012289848626,0.4242740525955,waving_righthand
77,0.3848890222166,0.0931939702217699,0.4657074377180001,waving_righthand
