"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.912750005E-3,3.148446977E-2,8.068849891E-2,1.514585018E-1
1.189575000E-2,2.158443630E-2,8.207334578E-2,1.962978840E-1
2.187875001E-2,3.340725228E-2,9.075527079E-3,2.087765038E-1
3.186175000E-2,5.766598508E-2,-9.170221537E-2,1.895636618E-1
4.184475001E-2,6.727732718E-2,-2.216057479E-1,1.282238066E-1
5.182775000E-2,9.119357914E-2,-3.606064916E-1,4.742536321E-2
6.181075000E-2,1.140419394E-1,-4.261490107E-1,-3.850458190E-2
7.179375000E-2,1.020404100E-1,-3.869965672E-1,-1.102631912E-1
8.177675000E-2,8.876930922E-2,-3.039461076E-1,-1.422705054E-1
9.175975000E-2,9.451854229E-2,-2.211497724E-1,-1.341987252E-1
1.017427500E-1,1.080143899E-1,-1.542028934E-1,-1.037402600E-1
1.117257500E-1,1.005679220E-1,-1.114290580E-1,-8.672399819E-2
1.217087500E-1,8.384966105E-2,-1.121698841E-1,-8.732996136E-2
1.316907500E-1,7.582662255E-2,-1.477316171E-1,-9.409838170E-2
1.416737500E-1,7.654061168E-2,-1.740164608E-1,-9.775290638E-2
1.516567500E-1,8.623158932E-2,-2.123984694E-1,-9.936065227E-2
1.616397500E-1,1.140671819E-1,-2.208381891E-1,-1.126369983E-1
1.716227500E-1,1.442738175E-1,-1.815296710E-1,-1.136679128E-1
1.816057500E-1,1.624898612E-1,-1.263316721E-1,-9.799454361E-2
1.915887500E-1,1.733347774E-1,-1.054772660E-1,-7.503569871E-2
2.015717500E-1,1.724961996E-1,-1.321924180E-1,-4.427960888E-2
2.115547500E-1,1.746304482E-1,-1.439409554E-1,-3.318834305E-2
2.215377500E-1,1.704814583E-1,-2.153089345E-1,-6.113253534E-2
2.315207500E-1,1.438583732E-1,-2.974725366E-1,-1.008730158E-1
2.415037500E-1,1.251733899E-1,-3.877510428E-1,-1.145357117E-1
2.514867500E-1,1.152003855E-1,-4.305978417E-1,-1.371579319E-1
2.614697500E-1,8.923505247E-2,-4.708963633E-1,-1.519832760E-1
2.714527500E-1,7.823327184E-2,-4.729030430E-1,-1.673835367E-1
2.814357500E-1,7.370246947E-2,-4.891293347E-1,-1.678315550E-1
2.914187500E-1,8.460146189E-2,-5.200014710E-1,-1.721282899E-1
3.014017500E-1,9.344770014E-2,-5.780697465E-1,-1.740569025E-1
3.113847500E-1,8.732882142E-2,-6.820201278E-1,-1.596598625E-1
3.213677500E-1,3.906888887E-2,-8.077741265E-1,-1.443011761E-1
3.313507500E-1,-4.388990998E-2,-9.579031467E-1,-1.293312758E-1
3.413337500E-1,-9.505988657E-2,-1.139102578E0,-1.453896016E-1
3.513167500E-1,-7.603079826E-2,-1.293508172E0,-2.323042601E-1
3.612987500E-1,-2.327601798E-2,-1.415178180E0,-3.606752455E-1
3.712817500E-1,2.601137012E-2,-1.536802173E0,-4.756556451E-1
3.812647500E-1,7.272722572E-2,-1.715333343E0,-5.586444139E-1
3.912477500E-1,1.226907894E-1,-1.966850758E0,-6.541754603E-1
4.012307500E-1,2.000012696E-1,-2.359631777E0,-7.547019124E-1
4.112137500E-1,3.210225105E-1,-2.806030035E0,-8.480060101E-1
4.211967500E-1,4.483737946E-1,-3.289532185E0,-9.230371118E-1
4.311800833E-1,5.507481098E-1,-3.804835796E0,-1.021843553E0
4.411630833E-1,6.674422622E-1,-4.335245132E0,-1.172372222E0
4.511460833E-1,7.607463598E-1,-4.769646645E0,-1.386831522E0
4.611290833E-1,8.642621636E-1,-5.173598766E0,-1.555880308E0
4.711120833E-1,9.267505407E-1,-5.304213047E0,-1.773782253E0
4.810950833E-1,8.911970258E-1,-5.287576199E0,-1.953973293E0
4.910780833E-1,7.560861111E-1,-5.075009823E0,-2.076982498E0
5.010610833E-1,5.400962830E-1,-4.694652081E0,-2.117390394E0
5.110440833E-1,2.905594110E-1,-4.232112885E0,-2.060601473E0
5.210270833E-1,6.985554099E-2,-3.775616884E0,-1.936313748E0
5.310100833E-1,-8.161547035E-2,-3.390249014E0,-1.778843164E0
5.409930833E-1,-1.483900100E-1,-3.074954510E0,-1.653861642E0
5.509760833E-1,-2.113782912E-1,-2.806699514E0,-1.656128049E0
5.609590833E-1,-2.920169234E-1,-2.640545368E0,-1.794588804E0
5.709420833E-1,-3.797028363E-1,-2.592265129E0,-1.983680964E0
5.809250833E-1,-4.343556762E-1,-2.579996109E0,-2.129832983E0
5.909070833E-1,-4.609231055E-1,-2.574674606E0,-2.139891863E0
6.008900833E-1,-4.869656563E-1,-2.562199831E0,-2.007507324E0
6.108730833E-1,-5.495193005E-1,-2.537052155E0,-1.798057437E0
6.208560833E-1,-6.388347745E-1,-2.542068243E0,-1.567681670E0
6.308390833E-1,-6.751733422E-1,-2.629045010E0,-1.334953785E0
6.408220833E-1,-6.088262796E-1,-2.840220451E0,-1.104085803E0
6.508050833E-1,-4.700098336E-1,-3.043400049E0,-8.772776127E-1
6.607880833E-1,-2.729611695E-1,-3.159102440E0,-6.344276071E-1
6.707710833E-1,-2.024877071E-2,-3.204157114E0,-4.562275112E-1
6.807540833E-1,3.561360240E-1,-3.257820129E0,-3.780010343E-1
6.907370833E-1,8.427048922E-1,-3.325172663E0,-3.324359655E-1
7.007200833E-1,1.383350492E0,-3.390600681E0,-2.298970222E-1
7.107030833E-1,1.971834302E0,-3.413666725E0,-1.699220575E-2
7.206860833E-1,2.661778212E0,-3.312395096E0,3.088210821E-1
7.306690833E-1,3.438304186E0,-3.025956631E0,7.482911348E-1
7.406520833E-1,4.132009983E0,-2.471861362E0,1.256829262E0
7.506350833E-1,4.567025661E0,-1.640738606E0,1.788698196E0
7.606180833E-1,4.632852077E0,-4.139819443E-1,2.299081326E0
7.706010833E-1,4.257654190E0,1.219112635E0,2.880651236E0
7.805840833E-1,3.554484129E0,3.054243326E0,3.609978914E0
7.905670833E-1,2.249453545E0,4.237844944E0,4.160282135E0
8.005500833E-1,1.037174702E0,4.031268597E0,4.256355762E0
8.105330833E-1,5.254923105E-1,2.495156527E0,3.970771074E0
8.205160833E-1,6.878753304E-1,-3.773465380E-2,3.259546518E0
8.304980833E-1,1.345759988E0,-2.475042343E0,2.096712589E0
8.404810833E-1,2.205045700E0,-3.859775066E0,8.579939604E-1
8.504640833E-1,2.825581074E0,-4.233843803E0,3.571424261E-2
8.604470833E-1,3.096246719E0,-3.880750656E0,-3.013067544E-1
8.704300833E-1,2.949238539E0,-3.088862419E0,-3.381989896E-1
8.804130833E-1,2.485221624E0,-2.233105183E0,-1.737223566E-1
8.903960833E-1,1.684859037E0,-1.533184648E0,6.010113284E-3
9.003790833E-1,5.561586022E-1,-9.521858692E-1,-3.232589737E-2
9.103620833E-1,-5.680189729E-1,-4.787730277E-1,-5.652028322E-1
9.203450833E-1,-1.418421984E0,-5.717907846E-2,-1.186233044E0
9.303280833E-1,-1.919684529E0,1.511285901E-1,-1.551089287E0
9.403110833E-1,-2.104116440E0,1.742465794E-1,-1.729867578E0
9.502940833E-1,-2.121445894E0,1.356935948E-1,-1.809980512E0
9.602770833E-1,-2.072314739E0,8.270215988E-2,-1.823924541E0
9.702600833E-1,-2.047779560E0,2.267823182E-2,-1.791419387E0
9.802430833E-1,-2.084445000E0,1.248899102E-2,-1.724832773E0
9.902260833E-1,-2.182990551E0,6.874854118E-2,-1.656399369E0
1.000209083E0,-2.353513479E0,1.204788685E-1,-1.619083643E0
1.010192083E0,-2.536606312E0,1.546461582E-1,-1.580785751E0
1.020175083E0,-2.664712906E0,1.108331233E-1,-1.550218463E0
1.030158083E0,-2.754068136E0,-3.401460871E-2,-1.573212981E0
1.040141083E0,-2.824843407E0,-3.048182726E-1,-1.622565389E0
1.050124083E0,-2.896503925E0,-6.245267391E-1,-1.584867001E0
1.060107083E0,-2.987749815E0,-9.645264149E-1,-1.492539763E0
1.070090083E0,-3.118058443E0,-1.346303225E0,-1.370677233E0
1.080073083E0,-3.308289528E0,-1.628153920E0,-1.182057381E0
1.090055083E0,-3.502226591E0,-1.857296228E0,-9.474041462E-1
1.100038083E0,-3.707968473E0,-1.949529409E0,-7.468112111E-1
1.110021083E0,-3.929827929E0,-1.961312294E0,-5.826545358E-1
1.120004083E0,-4.129304409E0,-1.877850175E0,-3.885060251E-1
1.129987083E0,-4.272317410E0,-1.796749711E0,-8.302362263E-2
1.139970083E0,-4.353079796E0,-1.668338776E0,2.699190080E-1
1.149953083E0,-4.329422951E0,-1.651111007E0,5.599460006E-1
1.159936083E0,-4.173284531E0,-1.723698854E0,7.623088956E-1
1.169919083E0,-3.897626400E0,-1.721150756E0,8.818725944E-1
1.179902083E0,-3.621971130E0,-1.601381302E0,9.313417673E-1
1.189885083E0,-3.673934460E0,-1.551460505E0,1.005077362E0
1.199868083E0,-3.468755245E0,-1.269424319E0,1.150692105E0
1.209851083E0,-2.892950773E0,-7.194852829E-1,1.222823024E0
1.219834083E0,-2.150695324E0,-1.531900913E-1,1.075207353E0
1.229817083E0,-1.645348549E0,1.890365034E-1,7.115448117E-1
1.239800083E0,-1.364957333E0,1.985091716E-1,4.990195632E-1
1.249783083E0,-1.044230819E0,3.069368601E-1,3.946952820E-1
1.259766083E0,-8.233900070E-1,5.517087579E-1,1.929871738E-1
1.269749083E0,-7.061573863E-1,6.477980018E-1,-6.578125805E-2
1.279732083E0,-6.029228568E-1,5.847253203E-1,-3.083576560E-1
1.289715083E0,-5.004729033E-1,3.253454268E-1,-5.184257030E-1
1.299698083E0,-4.239935875E-1,8.938830346E-3,-6.735903025E-1
1.309681083E0,-3.679047525E-1,-1.220562011E-1,-7.559674382E-1
1.319664083E0,-3.033995330E-1,1.623194218E-1,-8.709008098E-1
1.329647083E0,-3.024415970E-1,6.154751778E-1,-1.000133872E0
1.339630083E0,-3.670118153E-1,8.429502845E-1,-1.130541921E0
1.349613083E0,-4.547483325E-1,8.767260909E-1,-1.311660886E0
1.359595083E0,-5.529105663E-1,5.066967607E-1,-1.439650059E0
1.369578083E0,-5.663837790E-1,-9.801580757E-2,-1.401579618E0
1.379561083E0,-4.891310334E-1,-4.873827100E-1,-1.349350214E0
1.389544083E0,-4.757872522E-1,-4.920049012E-1,-1.262491226E0
1.399527083E0,-4.277875423E-1,-2.433498055E-1,-1.123365164E0
1.409510083E0,-2.886360586E-1,1.000437811E-1,-9.839731455E-1
1.419493083E0,-4.408542439E-2,2.637444437E-1,-8.389317393E-1
1.429475833E0,2.315783799E-1,1.933664232E-1,-6.702284813E-1
1.439458833E0,4.865092039E-1,6.732539833E-2,-4.778886139E-1
1.449441833E0,6.205461025E-1,6.122410670E-2,-3.212518692E-1
1.459424833E0,6.528862119E-1,1.400460601E-1,-2.082691938E-1
1.469407833E0,6.471625566E-1,3.068217337E-1,-1.187702045E-1
1.479390833E0,6.019005179E-1,5.174722075E-1,-7.423520088E-2
1.489373833E0,5.043212175E-1,6.087473035E-1,-3.953181207E-2
1.499356833E0,2.231076956E-1,4.920387566E-1,7.182162255E-3
1.509339833E0,5.544278771E-2,3.010389805E-1,7.063516974E-2
1.519322833E0,1.717075892E-2,6.198621169E-2,1.516244411E-1
1.529305833E0,2.146164328E-2,-1.017760932E-1,1.802499592E-1
1.539288833E0,1.103616972E-2,-2.293536961E-1,1.741205901E-1
1.549271833E0,-8.613964915E-2,-2.173263282E-1,1.562878042E-1
1.559254833E0,-2.240637243E-1,-4.074866697E-2,1.320009381E-1
1.569237833E0,-3.385058641E-1,2.070563436E-1,1.468411386E-1
1.579220833E0,-3.690698743E-1,4.420207143E-1,1.411088407E-1
1.589203833E0,-3.827398717E-1,6.619232297E-1,1.009377241E-1
1.599186833E0,-4.381552041E-1,7.442333102E-1,8.461603522E-2
1.609169833E0,-5.397841334E-1,7.027676105E-1,1.095253751E-1
1.619151833E0,-7.027930021E-1,5.958362222E-1,1.343742758E-1
1.629134833E0,-8.607307076E-1,5.170849562E-1,1.649535000E-1
1.639117833E0,-9.028003812E-1,2.818849981E-1,1.239489913E-1
1.649100833E0,-8.857148886E-1,-4.173194245E-2,3.949855641E-2
1.659083833E0,-8.852214217E-1,-2.039546520E-1,-2.888302691E-2
1.669066833E0,-8.621065021E-1,-3.096789718E-1,-8.953225613E-2
1.679049833E0,-8.026032448E-1,-4.197329879E-1,-1.511206478E-1
1.689032833E0,-7.185629010E-1,-4.671846628E-1,-1.537372023E-1
1.699015833E0,-6.549730301E-1,-3.599822521E-1,3.506030887E-2
1.708998833E0,-5.389095545E-1,-2.714499831E-1,2.084888220E-1
1.718981833E0,-3.638834059E-1,-3.410114348E-1,2.718214989E-1
1.728964833E0,-2.191456556E-1,-1.769527048E-1,3.590426743E-1
1.738947833E0,-4.058255628E-2,-7.292340696E-2,4.260272086E-1
1.748930833E0,1.393592507E-1,-1.765885502E-1,4.408450425E-1
1.758913833E0,2.341996878E-1,-3.633402586E-1,3.750739098E-1
1.768896833E0,2.190321833E-1,-6.208740473E-1,3.182873428E-1
1.778879833E0,2.432757765E-1,-9.216495752E-1,3.073063493E-1
1.788862833E0,4.629335701E-1,-1.184061766E0,2.799114585E-1
1.798845833E0,9.625396729E-1,-1.493644953E0,3.297486603E-1
1.808828833E0,1.771492362E0,-1.749159813E0,4.145889878E-1
1.818811833E0,2.935156345E0,-1.831219792E0,4.947696626E-1
1.828794833E0,4.364175797E0,-1.789648175E0,7.238534093E-1
1.838777833E0,5.909644127E0,-1.519204974E0,1.050694227E0
1.848760833E0,7.535720348E0,-1.043672085E0,1.435971618E0
1.858743833E0,8.971063614E0,-4.533212483E-1,1.906799197E0
1.868726833E0,9.799489975E0,2.431433201E-1,2.484221697E0
1.878708833E0,9.580826759E0,9.800568223E-1,3.429588318E0
1.888691833E0,8.330386162E0,1.707780957E0,4.403935432E0
1.898674833E0,6.269990444E0,1.644593000E0,4.635348797E0
1.908657833E0,3.807004452E0,1.215085667E-2,3.990981340E0
1.918640833E0,1.974833608E0,-2.001215458E0,2.660724878E0
1.928623833E0,1.501371503E0,-3.225256205E0,1.042313337E0
1.938606833E0,1.763106108E0,-3.420559406E0,-4.707911909E-1
