"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.912750005E-3,-1.960357666E0,-4.102413940E1,1.285671997E1
1.189575000E-2,-2.040168762E0,-4.105780029E1,1.273556519E1
2.187875001E-2,-2.040168762E0,-4.105780029E1,1.273556519E1
3.186175000E-2,-2.109390259E0,-4.103134155E1,1.271231079E1
4.184475001E-2,-2.135406494E0,-4.104235840E1,1.292517090E1
5.182775000E-2,-1.982177734E0,-4.113552856E1,1.316470337E1
6.181075000E-2,-2.083564758E0,-4.120278931E1,1.311834717E1
7.179375000E-2,-2.106460571E0,-4.125588989E1,1.306802368E1
8.177675000E-2,-2.119689941E0,-4.109841919E1,1.282556152E1
9.175975000E-2,-2.023727417E0,-4.113589478E1,1.285208130E1
1.017427500E-1,-2.056221008E0,-4.105999756E1,1.300756836E1
1.117257500E-1,-1.910369873E0,-4.116744995E1,1.321856689E1
1.217087500E-1,-1.771919250E0,-4.117675781E1,1.305746460E1
1.316907500E-1,-1.658920288E0,-4.105526733E1,1.322186279E1
1.416737500E-1,-1.646705627E0,-4.119131470E1,1.321548462E1
1.516567500E-1,-1.630226135E0,-4.120785522E1,1.311694336E1
1.616397500E-1,-1.585952759E0,-4.117916870E1,1.324630737E1
1.716227500E-1,-1.524749756E0,-4.110482788E1,1.310910034E1
1.816057500E-1,-1.394317627E0,-4.115835571E1,1.321731567E1
1.915887500E-1,-1.358642578E0,-4.105401611E1,1.326882935E1
2.015717500E-1,-1.380111694E0,-4.101440430E1,1.339321899E1
2.115547500E-1,-1.360748291E0,-4.094204712E1,1.337606812E1
2.215377500E-1,-1.265487671E0,-4.094522095E1,1.343838501E1
2.315207500E-1,-1.353973389E0,-4.089785767E1,1.359637451E1
2.415037500E-1,-1.142211914E0,-4.095266724E1,1.357058716E1
2.514867500E-1,-1.052551270E0,-4.085189819E1,1.381881714E1
2.614697500E-1,-9.164810181E-1,-4.088009644E1,1.402203369E1
2.714527500E-1,-8.548889160E-1,-4.083969116E1,1.401248169E1
2.814357500E-1,-8.041534424E-1,-4.086044312E1,1.384091187E1
2.914187500E-1,-5.662536621E-1,-4.083819580E1,1.377215576E1
3.014017500E-1,-3.971176147E-1,-4.087802124E1,1.396734619E1
3.113847500E-1,-3.971176147E-1,-4.087802124E1,1.396734619E1
3.213677500E-1,-3.134078979E-1,-4.075119019E1,1.407745361E1
3.313507500E-1,-1.353378296E-1,-4.078976440E1,1.384042358E1
3.413337500E-1,5.389404297E-2,-4.070129395E1,1.397354126E1
3.513167500E-1,3.427963257E-1,-4.072903442E1,1.394708252E1
3.612987500E-1,6.975631714E-1,-4.070053101E1,1.391418457E1
3.712817500E-1,8.712768555E-1,-4.058465576E1,1.374102783E1
3.812647500E-1,1.350433350E0,-4.057879639E1,1.351513672E1
3.912477500E-1,1.652824402E0,-4.051797485E1,1.345193481E1
4.012307500E-1,2.337684631E0,-4.059082031E1,1.362939453E1
4.112137500E-1,2.942108154E0,-4.055718994E1,1.353475952E1
4.211967500E-1,3.652572632E0,-4.056063843E1,1.326110840E1
4.311800833E-1,4.433685303E0,-4.041506958E1,1.337335205E1
4.411630833E-1,5.374412537E0,-4.033084106E1,1.336526489E1
4.511460833E-1,6.438617706E0,-4.018890381E1,1.331509399E1
4.611290833E-1,7.585044861E0,-3.982434082E1,1.306091309E1
4.711120833E-1,8.709255219E0,-3.956149292E1,1.276367188E1
4.810950833E-1,9.952228546E0,-3.928439331E1,1.249114990E1
4.910780833E-1,1.115158844E1,-3.880017090E1,1.211856079E1
5.010610833E-1,1.244475555E1,-3.849658203E1,1.157730103E1
5.110440833E-1,1.370013428E1,-3.805465698E1,1.111486816E1
5.210270833E-1,1.461038589E1,-3.776397705E1,1.046453857E1
5.310100833E-1,1.566924667E1,-3.745333862E1,9.929107666E0
5.409930833E-1,1.657061386E1,-3.735403442E1,9.154541016E0
5.509760833E-1,1.719857025E1,-3.706350708E1,8.460296631E0
5.609590833E-1,1.787512589E1,-3.676742554E1,7.911651611E0
5.709420833E-1,1.853020096E1,-3.635107422E1,7.188323975E0
5.809250833E-1,1.926322937E1,-3.594158936E1,6.422241211E0
5.909070833E-1,1.926322937E1,-3.594158936E1,6.422241211E0
6.008900833E-1,2.016725922E1,-3.535443115E1,5.860260010E0
6.108730833E-1,2.090458679E1,-3.502560425E1,5.031860352E0
6.208560833E-1,2.164355469E1,-3.459649658E1,4.503601074E0
6.308390833E-1,2.209924316E1,-3.411462402E1,3.527069092E0
6.408220833E-1,2.261093140E1,-3.380279541E1,3.007934570E0
6.508050833E-1,2.298090744E1,-3.339520264E1,2.304229736E0
6.607880833E-1,2.326412582E1,-3.310848999E1,1.688842773E0
6.707710833E-1,2.351301193E1,-3.278933716E1,9.846496582E-1
6.807540833E-1,2.365121078E1,-3.251693726E1,2.406005859E-1
6.907370833E-1,2.377792740E1,-3.235601807E1,-3.922424316E-1
7.007200833E-1,2.390872192E1,-3.208428955E1,-8.861999512E-1
7.107030833E-1,2.414204025E1,-3.202719116E1,-1.220184326E0
7.206860833E-1,2.416233444E1,-3.194442749E1,-1.308441162E0
7.306690833E-1,2.412099838E1,-3.181152344E1,-1.128906250E0
7.406520833E-1,2.390579224E1,-3.202661133E1,-4.963378906E-1
7.506350833E-1,2.335696793E1,-3.187094116E1,2.523803711E-1
7.606180833E-1,2.271931839E1,-3.205630493E1,1.294311523E0
7.706010833E-1,2.178784180E1,-3.218795776E1,2.694976807E0
7.805840833E-1,2.086270142E1,-3.256799316E1,4.436401367E0
7.905670833E-1,1.929881287E1,-3.298291016E1,6.140502930E0
8.005500833E-1,1.779840851E1,-3.347357178E1,7.698181152E0
8.105330833E-1,1.624942398E1,-3.394348145E1,8.452972412E0
8.205160833E-1,1.500989914E1,-3.453320312E1,9.140472412E0
8.304980833E-1,1.427907562E1,-3.461578369E1,9.380218506E0
8.404810833E-1,1.377177048E1,-3.466436768E1,9.589447021E0
8.504640833E-1,1.385552979E1,-3.432904053E1,9.851165771E0
8.604470833E-1,1.433338928E1,-3.414129639E1,1.053536987E1
8.704300833E-1,1.472890854E1,-3.367227173E1,1.088656616E1
8.804130833E-1,1.472890854E1,-3.367227173E1,1.088656616E1
8.903960833E-1,1.511064529E1,-3.328259277E1,1.124252319E1
9.003790833E-1,1.520279694E1,-3.285958862E1,1.161898804E1
9.103620833E-1,1.531798935E1,-3.284432983E1,1.180935669E1
9.203450833E-1,1.549777985E1,-3.278192139E1,1.153540039E1
9.303280833E-1,1.587782669E1,-3.284899902E1,1.117868042E1
9.403110833E-1,1.644345856E1,-3.292233276E1,1.072344971E1
9.502940833E-1,1.693357086E1,-3.294134521E1,1.007284546E1
9.602770833E-1,1.742906570E1,-3.283413696E1,9.296417236E0
9.702600833E-1,1.799996948E1,-3.264086914E1,8.686737061E0
9.802430833E-1,1.848578644E1,-3.276300049E1,8.181579590E0
