"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717520129314180E9,"2024-06-04 18:55:29.314 UTC+02:00"
"PAUSE",6.000696024999343E1,1.717520189321740E9,"2024-06-04 18:56:29.322 UTC+02:00"
