"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.582528333E-1,-5.711940527E-1,-8.159449697E-1,-2.656802833E-1
8.682368333E-1,-9.496180415E-1,-5.741227865E-1,-4.816144407E-1
8.782198333E-1,-9.813898206E-1,-3.294398487E-1,-4.990673363E-1
8.882030833E-1,-1.001116633E0,-1.672176570E-1,-4.747905135E-1
8.981870833E-1,-1.086163282E0,-1.765606105E-1,-4.914629161E-1
9.081700833E-1,-1.119897485E0,-2.372023910E-1,-5.048372746E-1
9.181530833E-1,-1.050028563E0,-2.578283250E-1,-5.114623308E-1
9.281360833E-1,-9.643951058E-1,-2.779040337E-1,-5.598373413E-1
9.381200833E-1,-9.239047766E-1,-3.317890167E-1,-6.290123463E-1
9.481030833E-1,-9.337573647E-1,-3.846812546E-1,-6.810044646E-1
9.580860833E-1,-9.396075010E-1,-4.428113401E-1,-7.106190920E-1
9.680690833E-1,-9.240237474E-1,-5.240486860E-1,-7.135043740E-1
9.780530833E-1,-8.937802315E-1,-6.228394508E-1,-7.066368461E-1
9.880360833E-1,-8.468108773E-1,-7.144929171E-1,-7.154039741E-1
9.980190833E-1,-8.010129929E-1,-7.332871556E-1,-7.346401215E-1
1.008002083E0,-7.459111214E-1,-6.835621595E-1,-7.198209763E-1
1.017986083E0,-6.723555326E-1,-5.835742950E-1,-6.820972562E-1
1.027969083E0,-5.901482701E-1,-4.410310090E-1,-6.175501943E-1
1.037952083E0,-5.239651203E-1,-2.984072566E-1,-5.309433341E-1
1.047935083E0,-4.580926597E-1,-1.781833917E-1,-4.304124713E-1
1.057919083E0,-3.782447577E-1,-8.606240898E-2,-3.576232493E-1
1.067902083E0,-2.937402725E-1,-4.086351022E-2,-3.038287163E-1
1.077885083E0,-2.082034200E-1,-3.518037498E-2,-2.502390146E-1
1.087869083E0,-1.161648482E-1,-3.120933287E-2,-2.035149485E-1
1.097852083E0,-3.201903403E-2,-3.601840232E-3,-1.739971936E-1
1.107835083E0,3.230802342E-2,3.310823813E-2,-1.370034814E-1
1.117818083E0,7.918521762E-2,7.764072716E-2,-7.985395193E-2
1.127802083E0,1.273210496E-1,1.334166378E-1,1.192435389E-3
1.137785083E0,2.014573514E-1,1.978204548E-1,9.719505161E-2
1.147768083E0,3.084048629E-1,2.770785391E-1,1.962135136E-1
1.157751083E0,4.175730944E-1,3.622945547E-1,2.852251828E-1
1.167735083E0,5.093309879E-1,4.151303470E-1,3.625926971E-1
1.177718083E0,6.019728780E-1,4.412089884E-1,4.330644906E-1
1.187701083E0,6.962679625E-1,4.482170939E-1,4.966501296E-1
1.197684083E0,7.706186175E-1,4.479670525E-1,5.320016742E-1
1.207668083E0,8.100389838E-1,4.397101998E-1,5.401235223E-1
1.217651083E0,8.239286542E-1,4.021129310E-1,5.483796597E-1
1.227634083E0,8.229129314E-1,3.614235520E-1,5.538852215E-1
1.237617083E0,8.055684566E-1,3.034475744E-1,5.633742213E-1
1.247601083E0,7.762265205E-1,2.524475157E-1,5.835684538E-1
1.257584083E0,7.495205402E-1,2.322382778E-1,6.192544103E-1
1.267567083E0,7.164866924E-1,2.069281340E-1,6.381764412E-1
1.277550083E0,6.981642246E-1,1.776401252E-1,6.579129696E-1
1.287534083E0,7.186346054E-1,1.363811046E-1,6.628491282E-1
1.297517083E0,7.857825160E-1,8.454886079E-2,6.617864966E-1
1.307500083E0,9.008688927E-1,8.405271173E-2,6.741361022E-1
1.317484083E0,1.087379813E0,1.104878262E-1,7.105399370E-1
1.327467083E0,1.315540314E0,1.423916817E-1,7.246288657E-1
1.337450083E0,1.523045182E0,1.825167984E-1,7.325374484E-1
1.347433083E0,1.683129668E0,1.731012017E-1,7.125381827E-1
1.357417083E0,1.682901233E-1,-1.182258725E0,5.538020730E-1
1.367400083E0,-2.639450312E0,-1.055796742E0,5.652989149E-1
1.377383083E0,-1.990105748E0,-9.720919132E-1,6.929913163E-1
1.387366083E0,-1.182600141E0,2.009724379E-1,4.369651079E-1
1.397350083E0,-1.099487171E-1,8.830076456E-1,3.025091588E-1
1.407333083E0,6.477780938E-1,1.011105895E0,3.616004586E-1
1.417316083E0,1.228200316E0,9.356244206E-1,4.338019490E-1
1.427299083E0,1.506127834E0,3.947249949E-1,4.788090885E-1
1.437283083E0,1.151939273E0,-4.353667796E-1,2.259158641E-1
1.447266083E0,3.061076403E-1,-9.340426326E-1,-2.608692348E-1
1.457249083E0,-4.373317659E-1,-8.533187509E-1,-6.711571217E-1
1.467232083E0,-7.880868316E-1,-6.726568341E-1,-7.902446389E-1
1.477216083E0,-9.182604551E-1,-4.084364474E-1,-7.484129071E-1
1.487199083E0,-1.025211930E0,-1.007532030E-1,-6.918641329E-1
1.497182083E0,-1.110488534E0,1.388066560E-1,-6.481766701E-1
1.507165083E0,-1.113173485E0,3.408444226E-1,-5.991356373E-1
1.517149083E0,-1.050422549E0,5.061665177E-1,-5.626927614E-1
1.527132083E0,-9.705225825E-1,5.771692991E-1,-5.575744510E-1
1.537115083E0,-9.128332734E-1,5.475530624E-1,-5.739347935E-1
1.547099083E0,-8.734583855E-1,4.361650646E-1,-6.062946320E-1
1.557082083E0,-8.507124186E-1,2.412212789E-1,-6.513873935E-1
1.567065083E0,-8.360120058E-1,1.159417676E-3,-7.080216408E-1
1.577048083E0,-8.091308475E-1,-2.670014203E-1,-7.637422085E-1
1.587032083E0,-7.765910029E-1,-5.342413783E-1,-8.143172264E-1
1.597015083E0,-7.302563787E-1,-7.908696532E-1,-8.577051759E-1
1.606998083E0,-6.994928718E-1,-1.006296992E0,-8.994707465E-1
1.616981083E0,-6.981088519E-1,-1.135761857E0,-9.299772382E-1
1.626965083E0,-7.032809854E-1,-1.210387707E0,-9.247744679E-1
1.636948083E0,-7.195672989E-1,-1.231020451E0,-8.857027292E-1
1.646931083E0,-7.729368210E-1,-1.214326262E0,-8.288732767E-1
1.656914083E0,-8.609635234E-1,-1.166972995E0,-7.564840913E-1
1.666898083E0,-9.644843340E-1,-1.108137012E0,-6.740065217E-1
1.676881083E0,-1.058250904E0,-1.027573109E0,-5.775584579E-1
1.686864083E0,-1.127952218E0,-8.913659453E-1,-4.826375246E-1
1.696847083E0,-1.181042790E0,-7.200503349E-1,-3.924673200E-1
1.706831083E0,-1.210416913E0,-5.344780684E-1,-3.228658736E-1
1.716814083E0,-1.199521065E0,-3.453187943E-1,-2.626457512E-1
1.726797083E0,-1.103931427E0,-1.942248791E-1,-2.129969746E-1
1.736781083E0,-9.156524539E-1,-1.208160818E-1,-1.789163053E-1
1.746764083E0,-6.709353924E-1,-1.136764139E-1,-1.652162075E-1
1.756747083E0,-4.051533639E-1,-1.272394657E-1,-1.418083161E-1
1.766730083E0,-1.602653414E-1,-1.032246724E-1,-1.062508523E-1
1.776714083E0,5.379090086E-2,-3.051904030E-2,-6.271121651E-2
1.786697083E0,2.279099673E-1,7.272612303E-2,-3.546294756E-4
1.796680083E0,3.737922311E-1,1.873273253E-1,7.290071249E-2
1.806663083E0,5.187736154E-1,2.997758090E-1,1.422909796E-1
1.816647083E0,6.550029516E-1,4.125337005E-1,2.064955682E-1
1.826630083E0,7.905890346E-1,5.164236426E-1,2.592533231E-1
1.836613083E0,9.263807535E-1,6.000918150E-1,2.928706110E-1
1.846596083E0,1.046701312E0,6.605580449E-1,3.318068087E-1
1.856580083E0,1.153007030E0,6.965831518E-1,3.759576082E-1
1.866563083E0,1.258802652E0,7.296340466E-1,4.295763671E-1
1.876546083E0,1.332737207E0,7.604789138E-1,4.879698455E-1
1.886529083E0,1.399314880E0,7.514603734E-1,5.489703417E-1
1.896512333E0,1.450238705E0,7.067447901E-1,6.116456985E-1
1.906495333E0,1.454638720E0,6.105759144E-1,6.469475031E-1
1.916478333E0,1.386544585E0,4.481105804E-1,6.336542964E-1
1.926462333E0,1.224248648E0,2.706950605E-1,5.924927592E-1
1.936445333E0,9.988759756E-1,1.668126136E-1,5.654813051E-1
1.946428333E0,8.047627211E-1,1.554539651E-1,5.856720805E-1
1.956411333E0,7.691980004E-1,2.558533847E-1,6.488679647E-1
1.966395333E0,9.417465925E-1,3.876068890E-1,7.472017407E-1
1.976378333E0,1.228395104E0,4.846759737E-1,8.409680724E-1
1.986361333E0,1.538363099E0,5.357264280E-1,8.791428804E-1
1.996344333E0,1.795274734E0,5.261837840E-1,8.230054379E-1
2.006328333E0,1.735753894E0,2.466056645E-1,6.575775743E-1
2.016311333E0,-6.655995250E-1,-9.757375717E-1,3.285400867E-1
2.026294333E0,-7.273755074E-1,-7.085205317E-1,3.520693779E-1
2.036277333E0,2.160349488E-1,-5.693169311E-2,1.564969271E-1
2.046261333E0,1.121712923E0,7.334864736E-1,1.064249650E-1
2.056244333E0,1.354321361E0,7.816545367E-1,2.231005579E-1
2.066227333E0,8.491780162E-1,1.007913128E-1,2.668618858E-1
2.076210333E0,-9.119693935E-2,-4.328284562E-1,-3.736903146E-2
2.086194333E0,-6.277272105E-1,-3.715826869E-1,-4.405215681E-1
2.096177333E0,-6.958725452E-1,-3.272417486E-1,-6.195427179E-1
2.106160333E0,-7.375214696E-1,-3.106694221E-1,-6.484521627E-1
2.116143333E0,-8.397465348E-1,-4.112704098E-1,-6.914933324E-1
2.126127333E0,-8.770608902E-1,-5.705336332E-1,-7.469118237E-1
2.136110333E0,-8.233376741E-1,-6.796591282E-1,-7.943333983E-1
2.146093333E0,-7.529130578E-1,-7.989231944E-1,-8.465985060E-1
2.156076333E0,-7.346797585E-1,-9.528708458E-1,-9.031917453E-1
2.166060333E0,-7.585067749E-1,-1.097889066E0,-9.519478083E-1
2.176043333E0,-8.060343862E-1,-1.207722545E0,-9.780939221E-1
2.186026333E0,-8.657072783E-1,-1.285654664E0,-9.821214080E-1
2.196010333E0,-9.280775785E-1,-1.334638357E0,-9.840985537E-1
2.205993333E0,-9.831941128E-1,-1.347108603E0,-9.759247303E-1
2.215976333E0,-1.039224505E0,-1.298081756E0,-9.449901581E-1
2.225959333E0,-1.088969111E0,-1.191891909E0,-8.815113306E-1
2.235943333E0,-1.147297382E0,-1.050506234E0,-7.959948182E-1
2.245926333E0,-1.213477254E0,-8.842381239E-1,-7.050073743E-1
2.255909333E0,-1.275479913E0,-7.287325859E-1,-6.215349436E-1
2.265892333E0,-1.318666458E0,-5.976483226E-1,-5.575439930E-1
2.275876333E0,-1.326267958E0,-5.036615729E-1,-5.042918324E-1
2.285859333E0,-1.280046701E0,-4.549992085E-1,-4.619262516E-1
2.295842333E0,-1.196277738E0,-4.466664493E-1,-4.249442518E-1
2.305825333E0,-1.076936722E0,-4.517717361E-1,-4.001100063E-1
2.315809333E0,-9.150459766E-1,-4.705348611E-1,-3.720628917E-1
2.325792333E0,-7.154976726E-1,-4.884342253E-1,-3.464139998E-1
2.335775333E0,-4.957095683E-1,-4.828382134E-1,-3.076909184E-1
2.345758333E0,-2.887486815E-1,-4.465097785E-1,-2.555869818E-1
2.355742333E0,-1.030791253E-1,-3.996307552E-1,-1.877884120E-1
2.365725333E0,5.451209843E-2,-3.101038039E-1,-1.061987355E-1
2.375708333E0,1.848471612E-1,-1.824939847E-1,-3.359106928E-2
2.385691333E0,2.773866653E-1,-1.267138869E-2,3.690040484E-2
2.395675333E0,3.427880406E-1,1.893136650E-1,1.181715578E-1
2.405658333E0,4.286342561E-1,3.657571375E-1,2.067160755E-1
2.415641333E0,5.456123948E-1,4.925717711E-1,2.874385417E-1
2.425625333E0,6.898270845E-1,5.544870496E-1,3.597942293E-1
2.435608333E0,8.535494804E-1,5.802010298E-1,4.106990993E-1
2.445591333E0,1.021172881E0,5.911136270E-1,4.481458068E-1
2.455574333E0,1.179760695E0,6.129633188E-1,4.868069589E-1
2.465558333E0,1.327303290E0,6.522641182E-1,5.429669023E-1
2.475541333E0,1.464030027E0,7.152095437E-1,6.161067486E-1
2.485524333E0,1.592370987E0,7.766337991E-1,7.044582367E-1
2.495507333E0,1.698685169E0,8.340548277E-1,7.866873741E-1
2.505491333E0,1.782753944E0,8.819680214E-1,8.474178314E-1
2.515474333E0,1.869494438E0,9.003978968E-1,8.906635046E-1
2.525457333E0,1.980423093E0,9.166208506E-1,9.162871242E-1
2.535440333E0,2.071400642E0,8.746174574E-1,8.940683603E-1
2.545424333E0,2.109380484E0,7.011846900E-1,8.111423254E-1
2.555407333E0,2.087525606E0,4.324094951E-1,6.821725965E-1
